B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 2
B05, Trade, 201.650, 310, S18, B05, 1
B05, Trade, 255.575, 312, S04, B05, 1
B06, 8
B06, Trade, 60.600, 310, S01, B06, 1
B06, Trade, 129.150, 310, S18, B06, 1
B06, Trade, 185.500, 310, S04, B06, 1
B06, Trade, 258.225, 310, S02, B06, 1
B06, Trade, 314.150, 312, S17, B06, 1
B06, Trade, 465.175, 312, S16, B06, 1
B06, Trade, 519.875, 310, S04, B06, 1
B06, Trade, 564.750, 311, S10, B06, 1
B07, 9
B07, Trade, 100.125, 337, B07, S16, 1
B07, Trade, 120.875, 312, S06, B07, 1
B07, Trade, 195.500, 310, S03, B07, 1
B07, Trade, 245.550, 310, S03, B07, 1
B07, Trade, 312.050, 337, B07, S14, 1
B07, Trade, 361.500, 310, S19, B07, 1
B07, Trade, 435.850, 310, S18, B07, 1
B07, Trade, 486.750, 310, S17, B07, 1
B07, Trade, 545.775, 310, S02, B07, 1
B08, 9
B08, Trade, 62.800, 310, S02, B08, 1
B08, Trade, 120.850, 310, S19, B08, 1
B08, Trade, 183.700, 310, S02, B08, 1
B08, Trade, 240.900, 310, S19, B08, 1
B08, Trade, 301.200, 313, S10, B08, 1
B08, Trade, 362.175, 310, S01, B08, 1
B08, Trade, 421.400, 310, S19, B08, 1
B08, Trade, 480.625, 310, B08, S12, 1
B08, Trade, 542.075, 310, S19, B08, 1
B09, 9
B09, Trade, 66.200, 310, S06, B09, 1
B09, Trade, 136.750, 310, S05, B09, 1
B09, Trade, 180.125, 360, B09, S06, 1
B09, Trade, 242.475, 310, S01, B09, 1
B09, Trade, 306.950, 310, S01, B09, 1
B09, Trade, 366.900, 311, S02, B09, 1
B09, Trade, 420.775, 310, S08, B09, 1
B09, Trade, 480.700, 311, S06, B09, 1
B09, Trade, 550.900, 311, S04, B09, 1
B10, 6
B10, Trade, 70.375, 312, B10, S15, 1
B10, Trade, 120.225, 310, S04, B10, 1
B10, Trade, 301.650, 313, B10, S19, 1
B10, Trade, 364.400, 310, S03, B10, 1
B10, Trade, 441.725, 310, S05, B10, 1
B10, Trade, 480.725, 315, S10, B10, 1
B11, 9
B11, Trade, 61.250, 310, S12, B11, 1
B11, Trade, 122.100, 326, S11, B11, 1
B11, Trade, 180.950, 310, S13, B11, 1
B11, Trade, 242.025, 310, S11, B11, 1
B11, Trade, 300.675, 314, S06, B11, 1
B11, Trade, 365.200, 310, S04, B11, 1
B11, Trade, 421.175, 310, S01, B11, 1
B11, Trade, 481.350, 310, S05, B11, 1
B11, Trade, 541.625, 310, S01, B11, 1
B12, 9
B12, Trade, 60.625, 310, S05, B12, 1
B12, Trade, 120.325, 310, S03, B12, 1
B12, Trade, 181.400, 310, S08, B12, 1
B12, Trade, 240.925, 310, S05, B12, 1
B12, Trade, 300.525, 314, S02, B12, 1
B12, Trade, 360.975, 310, S05, B12, 1
B12, Trade, 420.325, 310, S12, B12, 1
B12, Trade, 481.250, 310, S09, B12, 1
B12, Trade, 541.225, 310, S09, B12, 1
B13, 5
B13, Trade, 60.675, 310, S18, B13, 1
B13, Trade, 302.175, 312, B13, S09, 1
B13, Trade, 360.475, 313, B13, S09, 1
B13, Trade, 443.350, 312, B13, S10, 1
B13, Trade, 542.225, 310, S05, B13, 1
B14, 9
B14, Trade, 67.500, 310, S04, B14, 1
B14, Trade, 121.625, 310, B14, S09, 1
B14, Trade, 184.475, 310, S05, B14, 1
B14, Trade, 241.000, 310, S09, B14, 1
B14, Trade, 301.450, 311, B14, S03, 1
B14, Trade, 365.050, 310, S08, B14, 1
B14, Trade, 421.325, 310, S09, B14, 1
B14, Trade, 490.050, 310, S18, B14, 1
B14, Trade, 541.575, 310, S03, B14, 1
B15, 9
B15, Trade, 65.825, 310, S08, B15, 1
B15, Trade, 120.800, 310, S08, B15, 1
B15, Trade, 181.825, 310, S01, B15, 1
B15, Trade, 242.900, 310, S06, B15, 1
B15, Trade, 306.075, 310, S05, B15, 1
B15, Trade, 365.925, 310, S12, B15, 1
B15, Trade, 439.875, 310, S03, B15, 1
B15, Trade, 480.850, 310, S08, B15, 1
B15, Trade, 542.500, 310, S08, B15, 1
B16, 5
B16, Trade, 62.900, 310, S03, B16, 1
