0.000, Bid:,0,Ask:,0,
60.025, Bid:,0,Ask:,1,341,1,
60.050, Bid:,1,1,1,Ask:,1,341,1,
60.075, Bid:,2,1,1,126,1,Ask:,1,341,1,
60.100, Bid:,2,1,1,126,1,Ask:,2,341,1,429,1,
60.125, Bid:,3,1,1,126,1,214,1,Ask:,2,341,1,429,1,
60.150, Bid:,4,1,1,126,1,214,1,292,1,Ask:,2,341,1,429,1,
60.175, Bid:,4,1,1,126,1,214,1,292,1,Ask:,3,310,1,341,1,429,1,
60.200, Bid:,4,1,1,126,1,214,1,292,1,Ask:,4,310,1,341,1,360,1,429,1,
60.225, Bid:,4,1,1,101,1,214,1,292,1,Ask:,4,310,1,341,1,360,1,429,1,
60.250, Bid:,4,1,1,101,1,214,1,292,1,Ask:,4,310,2,341,1,360,1,429,1,
60.275, Bid:,5,1,1,101,1,204,1,214,1,292,1,Ask:,4,310,2,341,1,360,1,429,1,
60.300, Bid:,5,1,1,101,1,204,1,214,1,292,1,Ask:,5,310,2,326,1,341,1,360,1,429,1,
60.325, Bid:,5,1,1,101,1,204,1,214,1,292,1,Ask:,5,310,3,326,1,341,1,360,1,429,1,
60.350, Bid:,5,1,1,101,1,204,1,212,1,292,1,Ask:,5,310,3,326,1,341,1,360,1,429,1,
60.375, Bid:,5,1,1,101,1,204,1,212,1,292,1,Ask:,5,310,2,326,1,341,1,360,1,429,1,
60.425, Bid:,5,1,1,101,1,204,1,212,1,292,1,Ask:,5,310,3,326,1,341,1,360,1,429,1,
60.525, Bid:,6,1,1,101,1,204,1,212,1,262,1,292,1,Ask:,5,310,3,326,1,341,1,360,1,429,1,
60.550, Bid:,5,1,1,204,1,212,1,262,1,292,1,Ask:,5,310,2,326,1,341,1,360,1,429,1,
60.575, Bid:,5,1,1,204,1,212,1,262,1,292,1,Ask:,5,310,1,326,1,341,1,360,1,429,1,
60.600, Bid:,5,1,1,204,1,212,1,262,1,292,1,Ask:,6,310,1,326,1,341,1,356,1,360,1,429,1,
60.625, Bid:,6,1,1,204,1,212,1,262,1,292,1,293,1,Ask:,6,310,1,326,1,341,1,356,1,360,1,429,1,
60.675, Bid:,6,1,1,204,1,212,1,262,1,292,1,293,1,Ask:,7,310,1,326,1,341,1,356,1,360,1,429,1,462,1,
60.700, Bid:,6,1,1,204,1,212,1,262,1,292,1,293,1,Ask:,8,310,1,326,1,341,1,356,1,360,1,409,1,429,1,462,1,
60.725, Bid:,6,1,1,204,1,212,1,262,1,292,1,293,1,Ask:,9,310,1,326,1,341,1,356,1,360,1,403,1,409,1,429,1,462,1,
60.750, Bid:,6,1,1,204,1,212,1,262,1,292,1,293,1,Ask:,9,310,1,326,1,341,1,356,1,359,1,360,1,403,1,409,1,429,1,
60.775, Bid:,6,1,1,204,1,212,1,262,1,292,1,293,1,Ask:,9,310,1,326,1,341,1,356,1,359,1,403,1,409,1,415,1,429,1,
60.800, Bid:,7,1,1,127,1,204,1,212,1,262,1,292,1,293,1,Ask:,9,310,1,326,1,341,1,356,1,359,1,403,1,409,1,415,1,429,1,
60.825, Bid:,7,1,1,127,1,204,1,212,1,262,1,292,1,293,1,Ask:,9,310,2,326,1,341,1,356,1,359,1,403,1,409,1,415,1,429,1,
60.850, Bid:,7,1,1,127,1,204,1,212,1,262,1,292,1,293,1,Ask:,9,310,2,312,1,341,1,356,1,359,1,403,1,409,1,415,1,429,1,
60.900, Bid:,7,1,1,127,1,155,1,204,1,262,1,292,1,293,1,Ask:,9,310,2,312,1,341,1,356,1,359,1,403,1,409,1,415,1,429,1,
60.925, Bid:,7,1,1,127,1,155,1,204,1,262,1,292,1,293,1,Ask:,9,310,1,312,1,341,1,356,1,359,1,403,1,409,1,415,1,429,1,
60.950, Bid:,7,1,1,127,1,155,1,204,1,262,1,292,1,293,1,Ask:,9,310,1,312,1,341,1,356,1,359,1,409,1,415,1,429,1,491,1,
60.975, Bid:,7,1,1,127,1,155,1,204,1,262,1,292,1,293,1,Ask:,8,312,1,341,1,356,1,359,1,409,1,415,1,429,1,491,1,
61.000, Bid:,7,1,1,127,1,155,1,204,1,262,1,292,1,293,1,Ask:,9,310,1,312,1,341,1,356,1,359,1,409,1,415,1,429,1,491,1,
61.050, Bid:,7,1,1,127,1,155,1,204,1,262,1,292,1,293,1,Ask:,8,310,1,312,2,356,1,359,1,409,1,415,1,429,1,491,1,
61.075, Bid:,7,1,1,127,1,155,1,204,1,262,1,292,1,293,1,Ask:,9,310,1,312,2,331,1,356,1,359,1,409,1,415,1,429,1,491,1,
61.125, Bid:,7,1,1,127,1,155,1,204,1,262,1,292,1,293,1,Ask:,9,310,1,312,2,356,1,359,1,409,1,415,1,429,1,448,1,491,1,
61.150, Bid:,7,127,1,155,1,204,1,262,1,292,1,293,1,294,1,Ask:,9,310,1,312,2,356,1,359,1,409,1,415,1,429,1,448,1,491,1,
61.175, Bid:,7,127,1,155,1,204,1,262,1,292,1,293,1,294,1,Ask:,9,310,1,312,2,356,1,359,1,409,1,415,1,429,1,468,1,491,1,
61.325, Bid:,7,127,1,155,1,204,1,262,1,292,1,293,1,294,1,Ask:,9,310,1,312,2,356,1,359,1,409,1,415,1,429,1,449,1,491,1,
61.400, Bid:,8,127,1,155,1,177,1,204,1,262,1,292,1,293,1,294,1,Ask:,9,310,1,312,2,356,1,359,1,409,1,415,1,429,1,449,1,491,1,
61.425, Bid:,8,127,1,155,1,177,1,204,1,262,1,292,1,293,1,294,1,Ask:,9,310,1,312,2,356,1,409,1,415,1,428,1,429,1,449,1,491,1,
61.450, Bid:,8,127,1,155,1,177,1,204,1,262,1,292,1,293,1,294,1,Ask:,10,310,1,312,2,356,1,409,1,414,1,415,1,428,1,429,1,449,1,491,1,
61.525, Bid:,8,127,1,155,1,177,1,204,1,262,1,292,1,293,1,294,1,Ask:,10,310,2,312,1,356,1,409,1,414,1,415,1,428,1,429,1,449,1,491,1,
61.575, Bid:,8,127,1,155,1,177,1,204,1,262,1,292,1,293,1,294,1,Ask:,10,310,1,312,1,356,1,409,1,414,1,415,1,428,1,429,1,449,1,491,1,
61.600, Bid:,8,127,1,155,1,177,1,204,1,262,1,292,1,293,1,294,1,Ask:,10,310,2,312,1,356,1,409,1,414,1,415,1,428,1,429,1,449,1,491,1,
61.625, Bid:,9,127,1,155,1,177,1,204,1,225,1,262,1,292,1,293,1,294,1,Ask:,10,310,2,312,1,356,1,409,1,414,1,415,1,428,1,429,1,449,1,491,1,
61.650, Bid:,9,127,1,155,1,177,1,204,1,225,1,262,1,292,1,293,1,294,1,Ask:,10,310,2,312,1,356,1,409,1,410,1,414,1,415,1,428,1,429,1,449,1,
61.750, Bid:,9,127,1,155,1,177,1,204,1,225,1,262,1,292,1,293,1,294,1,Ask:,9,310,2,312,1,409,1,410,1,414,2,415,1,428,1,429,1,449,1,
61.800, Bid:,9,127,1,177,1,204,1,225,1,262,1,272,1,292,1,293,1,294,1,Ask:,9,310,2,312,1,409,1,410,1,414,2,415,1,428,1,429,1,449,1,
