B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 9
B05, Trade, 60.375, 313, B05, S15, 1
B05, Trade, 121.400, 310, S04, B05, 1
B05, Trade, 181.850, 310, S01, B05, 1
B05, Trade, 240.550, 313, B05, S09, 1
B05, Trade, 301.100, 310, S13, B05, 1
B05, Trade, 360.225, 312, S19, B05, 1
B05, Trade, 422.075, 310, S03, B05, 1
B05, Trade, 480.500, 310, S11, B05, 1
B05, Trade, 540.725, 313, B05, S11, 1
B06, 9
B06, Trade, 77.750, 310, S11, B06, 1
B06, Trade, 137.800, 310, S13, B06, 1
B06, Trade, 223.325, 310, S16, B06, 1
B06, Trade, 246.950, 310, S15, B06, 1
B06, Trade, 322.875, 310, S00, B06, 1
B06, Trade, 397.100, 310, S01, B06, 1
B06, Trade, 420.575, 320, B06, S04, 1
B06, Trade, 483.550, 310, S05, B06, 1
B06, Trade, 573.300, 310, S10, B06, 1
B07, 9
B07, Trade, 64.150, 310, S00, B07, 1
B07, Trade, 124.000, 310, S02, B07, 1
B07, Trade, 235.600, 310, S15, B07, 1
B07, Trade, 250.625, 310, S19, B07, 1
B07, Trade, 317.650, 310, S15, B07, 1
B07, Trade, 360.625, 310, S11, B07, 1
B07, Trade, 425.700, 310, S13, B07, 1
B07, Trade, 505.025, 310, S07, B07, 1
B07, Trade, 556.700, 310, S19, B07, 1
B08, 9
B08, Trade, 69.200, 310, S01, B08, 1
B08, Trade, 123.500, 310, S14, B08, 1
B08, Trade, 182.075, 310, S03, B08, 1
B08, Trade, 240.825, 310, S06, B08, 1
B08, Trade, 307.600, 310, S04, B08, 1
B08, Trade, 373.775, 310, S14, B08, 1
B08, Trade, 428.225, 310, S07, B08, 1
B08, Trade, 482.875, 310, S04, B08, 1
B08, Trade, 540.700, 328, B08, S15, 1
B09, 9
B09, Trade, 60.325, 325, S07, B09, 1
B09, Trade, 120.450, 310, S00, B09, 1
B09, Trade, 180.100, 363, B09, S14, 1
B09, Trade, 240.475, 310, S04, B09, 1
B09, Trade, 300.500, 315, S06, B09, 1
B09, Trade, 361.450, 310, S13, B09, 1
B09, Trade, 420.500, 363, B09, S15, 1
B09, Trade, 480.825, 310, S10, B09, 1
B09, Trade, 542.575, 323, S07, B09, 1
B10, 4
B10, Trade, 61.600, 310, S10, B10, 1
B10, Trade, 241.150, 310, S00, B10, 1
B10, Trade, 421.625, 310, S05, B10, 1
B10, Trade, 541.275, 313, B10, S05, 1
B11, 9
B11, Trade, 60.700, 310, S06, B11, 1
B11, Trade, 125.050, 310, S11, B11, 1
B11, Trade, 192.175, 310, S05, B11, 1
B11, Trade, 241.850, 312, S13, B11, 1
B11, Trade, 312.225, 310, S10, B11, 1
B11, Trade, 366.775, 310, S15, B11, 1
B11, Trade, 420.650, 310, B11, S09, 1
B11, Trade, 483.500, 310, S13, B11, 1
B11, Trade, 547.950, 310, S06, B11, 1
B12, 4
B12, Trade, 60.175, 310, S04, B12, 1
B12, Trade, 302.500, 310, S05, B12, 1
B12, Trade, 422.250, 310, S01, B12, 1
B12, Trade, 540.925, 311, B12, S09, 1
B13, 9
B13, Trade, 60.575, 310, S03, B13, 1
B13, Trade, 120.525, 310, S06, B13, 1
B13, Trade, 180.400, 310, S09, B13, 1
B13, Trade, 240.600, 379, S12, B13, 1
B13, Trade, 300.525, 316, S07, B13, 1
B13, Trade, 360.500, 310, S00, B13, 1
B13, Trade, 421.100, 317, S19, B13, 1
B13, Trade, 482.350, 310, S00, B13, 1
B13, Trade, 540.400, 414, B13, S04, 1
B14, 3
B14, Trade, 61.500, 310, S17, B14, 1
B14, Trade, 420.700, 343, B14, S18, 1
B14, Trade, 544.825, 310, B14, S17, 1
B15, 3
B15, Trade, 240.750, 310, S03, B15, 1
B15, Trade, 420.875, 310, S00, B15, 1
B15, Trade, 541.200, 311, B15, S16, 1
B16, 9
B16, Trade, 68.250, 310, S13, B16, 1
B16, Trade, 122.250, 310, S10, B16, 1
B16, Trade, 183.300, 310, S19, B16, 1
B16, Trade, 242.300, 310, B16, S01, 1
B16, Trade, 310.300, 310, S01, B16, 1
B16, Trade, 362.050, 310, S16, B16, 1
B16, Trade, 429.025, 310, S10, B16, 1
B16, Trade, 481.225, 310, S01, B16, 1
B16, Trade, 542.050, 314, B16, S00, 1
B17, 9
B17, Trade, 64.650, 310, S19, B17, 1
B17, Trade, 121.825, 310, S01, B17, 1
B17, Trade, 182.850, 310, S11, B17, 1
B17, Trade, 242.125, 311, S17, B17, 1
B17, Trade, 302.050, 310, S11, B17, 1
B17, Trade, 361.750, 310, S17, B17, 1
B17, Trade, 425.125, 310, S06, B17, 1
B17, Trade, 481.175, 310, S19, B17, 1
B17, Trade, 541.750, 315, B17, S03, 1
B18, 9
B18, Trade, 60.825, 310, S05, B18, 1
B18, Trade, 121.375, 310, S15, B18, 1
B18, Trade, 180.225, 387, S12, B18, 1
B18, Trade, 241.225, 313, S14, B18, 1
B18, Trade, 300.700, 310, S16, B18, 1
B18, Trade, 360.800, 310, S03, B18, 1
B18, Trade, 422.575, 310, S17, B18, 1
B18, Trade, 480.950, 310, S17, B18, 1
B18, Trade, 542.500, 321, S13, B18, 1
B19, 9
B19, Trade, 60.650, 310, S09, B19, 1
B19, Trade, 121.075, 310, S09, B19, 1
B19, Trade, 180.350, 310, S00, B19, 1
B19, Trade, 240.225, 311, S07, B19, 1
B19, Trade, 300.475, 310, S09, B19, 1
B19, Trade, 360.575, 310, S05, B19, 1
B19, Trade, 420.375, 490, B19, S11, 1
B19, Trade, 480.650, 310, S09, B19, 1
B19, Trade, 540.475, 327, S18, B19, 1
S00, 9
S00, Trade, 64.150, 310, S00, B07, 1
S00, Trade, 120.450, 310, S00, B09, 1
S00, Trade, 180.350, 310, S00, B19, 1
S00, Trade, 241.150, 310, S00, B10, 1
S00, Trade, 322.875, 310, S00, B06, 1
S00, Trade, 360.500, 310, S00, B13, 1
S00, Trade, 420.875, 310, S00, B15, 1
S00, Trade, 482.350, 310, S00, B13, 1
S00, Trade, 542.050, 314, B16, S00, 1
S01, 8
S01, Trade, 69.200, 310, S01, B08, 1
S01, Trade, 121.825, 310, S01, B17, 1
S01, Trade, 181.850, 310, S01, B05, 1
S01, Trade, 242.300, 310, B16, S01, 1
S01, Trade, 310.300, 310, S01, B16, 1
S01, Trade, 397.100, 310, S01, B06, 1
S01, Trade, 422.250, 310, S01, B12, 1
S01, Trade, 481.225, 310, S01, B16, 1
S02, 1
S02, Trade, 124.000, 310, S02, B07, 1
S03, 6
S03, Trade, 60.575, 310, S03, B13, 1
S03, Trade, 182.075, 310, S03, B08, 1
S03, Trade, 240.750, 310, S03, B15, 1
S03, Trade, 360.800, 310, S03, B18, 1
S03, Trade, 422.075, 310, S03, B05, 1
S03, Trade, 541.750, 315, B17, S03, 1
S04, 7
S04, Trade, 60.175, 310, S04, B12, 1
S04, Trade, 121.400, 310, S04, B05, 1
S04, Trade, 240.475, 310, S04, B09, 1
S04, Trade, 307.600, 310, S04, B08, 1
S04, Trade, 420.575, 320, B06, S04, 1
S04, Trade, 482.875, 310, S04, B08, 1
S04, Trade, 540.400, 414, B13, S04, 1
S05, 7
S05, Trade, 60.825, 310, S05, B18, 1
S05, Trade, 192.175, 310, S05, B11, 1
S05, Trade, 302.500, 310, S05, B12, 1
S05, Trade, 360.575, 310, S05, B19, 1
S05, Trade, 421.625, 310, S05, B10, 1
S05, Trade, 483.550, 310, S05, B06, 1
S05, Trade, 541.275, 313, B10, S05, 1
S06, 6
S06, Trade, 60.700, 310, S06, B11, 1
S06, Trade, 120.525, 310, S06, B13, 1
S06, Trade, 240.825, 310, S06, B08, 1
S06, Trade, 300.500, 315, S06, B09, 1
S06, Trade, 425.125, 310, S06, B17, 1
S06, Trade, 547.950, 310, S06, B11, 1
S07, 6
S07, Trade, 60.325, 325, S07, B09, 1
S07, Trade, 240.225, 311, S07, B19, 1
S07, Trade, 300.525, 316, S07, B13, 1
S07, Trade, 428.225, 310, S07, B08, 1
S07, Trade, 505.025, 310, S07, B07, 1
S07, Trade, 542.575, 323, S07, B09, 1
S08, 0
S09, 8
S09, Trade, 60.650, 310, S09, B19, 1
S09, Trade, 121.075, 310, S09, B19, 1
S09, Trade, 180.400, 310, S09, B13, 1
S09, Trade, 240.550, 313, B05, S09, 1
S09, Trade, 300.475, 310, S09, B19, 1
S09, Trade, 420.650, 310, B11, S09, 1
S09, Trade, 480.650, 310, S09, B19, 1
S09, Trade, 540.925, 311, B12, S09, 1
S10, 6
S10, Trade, 61.600, 310, S10, B10, 1
S10, Trade, 122.250, 310, S10, B16, 1
S10, Trade, 312.225, 310, S10, B11, 1
S10, Trade, 429.025, 310, S10, B16, 1
S10, Trade, 480.825, 310, S10, B09, 1
S10, Trade, 573.300, 310, S10, B06, 1
S11, 8
S11, Trade, 77.750, 310, S11, B06, 1
S11, Trade, 125.050, 310, S11, B11, 1
S11, Trade, 182.850, 310, S11, B17, 1
S11, Trade, 302.050, 310, S11, B17, 1
S11, Trade, 360.625, 310, S11, B07, 1
S11, Trade, 420.375, 490, B19, S11, 1
S11, Trade, 480.500, 310, S11, B05, 1
S11, Trade, 540.725, 313, B05, S11, 1
S12, 2
S12, Trade, 180.225, 387, S12, B18, 1
S12, Trade, 240.600, 379, S12, B13, 1
S13, 8
S13, Trade, 68.250, 310, S13, B16, 1
S13, Trade, 137.800, 310, S13, B06, 1
S13, Trade, 241.850, 312, S13, B11, 1
S13, Trade, 301.100, 310, S13, B05, 1
S13, Trade, 361.450, 310, S13, B09, 1
S13, Trade, 425.700, 310, S13, B07, 1
S13, Trade, 483.500, 310, S13, B11, 1
S13, Trade, 542.500, 321, S13, B18, 1
S14, 4
S14, Trade, 123.500, 310, S14, B08, 1
S14, Trade, 180.100, 363, B09, S14, 1
S14, Trade, 241.225, 313, S14, B18, 1
S14, Trade, 373.775, 310, S14, B08, 1
S15, 8
S15, Trade, 60.375, 313, B05, S15, 1
S15, Trade, 121.375, 310, S15, B18, 1
S15, Trade, 235.600, 310, S15, B07, 1
S15, Trade, 246.950, 310, S15, B06, 1
S15, Trade, 317.650, 310, S15, B07, 1
S15, Trade, 366.775, 310, S15, B11, 1
S15, Trade, 420.500, 363, B09, S15, 1
S15, Trade, 540.700, 328, B08, S15, 1
S16, 4
S16, Trade, 223.325, 310, S16, B06, 1
S16, Trade, 300.700, 310, S16, B18, 1
S16, Trade, 362.050, 310, S16, B16, 1
S16, Trade, 541.200, 311, B15, S16, 1
S17, 6
S17, Trade, 61.500, 310, S17, B14, 1
S17, Trade, 242.125, 311, S17, B17, 1
S17, Trade, 361.750, 310, S17, B17, 1
S17, Trade, 422.575, 310, S17, B18, 1
S17, Trade, 480.950, 310, S17, B18, 1
S17, Trade, 544.825, 310, B14, S17, 1
S18, 2
S18, Trade, 420.700, 343, B14, S18, 1
S18, Trade, 540.475, 327, S18, B19, 1
S19, 7
S19, Trade, 64.650, 310, S19, B17, 1
S19, Trade, 183.300, 310, S19, B16, 1
S19, Trade, 250.625, 310, S19, B07, 1
S19, Trade, 360.225, 312, S19, B05, 1
S19, Trade, 421.100, 317, S19, B13, 1
S19, Trade, 481.175, 310, S19, B17, 1
S19, Trade, 556.700, 310, S19, B07, 1
