B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 9
B05, Trade, 67.450, 313, B05, S03, 1
B05, Trade, 126.850, 313, B05, S09, 1
B05, Trade, 191.425, 313, B05, S15, 1
B05, Trade, 243.450, 310, S16, B05, 1
B05, Trade, 304.375, 310, S17, B05, 1
B05, Trade, 369.525, 313, B05, S03, 1
B05, Trade, 437.175, 313, B05, S06, 1
B05, Trade, 482.275, 313, B05, S14, 1
B05, Trade, 545.175, 313, B05, S11, 1
B06, 5
B06, Trade, 91.775, 322, B06, S11, 1
B06, Trade, 130.775, 310, S19, B06, 1
B06, Trade, 341.350, 323, B06, S12, 1
B06, Trade, 505.300, 312, S04, B06, 1
B06, Trade, 554.375, 321, B06, S03, 1
B07, 9
B07, Trade, 63.425, 310, S01, B07, 1
B07, Trade, 146.500, 332, S15, B07, 1
B07, Trade, 181.400, 330, S10, B07, 1
B07, Trade, 243.425, 310, S14, B07, 1
B07, Trade, 328.825, 327, S03, B07, 1
B07, Trade, 391.275, 310, S09, B07, 1
B07, Trade, 422.150, 323, S04, B07, 1
B07, Trade, 491.900, 320, B07, S11, 1
B07, Trade, 599.900, 326, B07, S08, 1
B08, 9
B08, Trade, 65.775, 310, S07, B08, 1
B08, Trade, 121.625, 333, B08, S18, 1
B08, Trade, 184.425, 327, S02, B08, 1
B08, Trade, 244.950, 311, B08, S08, 1
B08, Trade, 306.450, 318, S08, B08, 1
B08, Trade, 364.275, 310, S16, B08, 1
B08, Trade, 422.000, 321, B08, S13, 1
B08, Trade, 482.475, 312, B08, S19, 1
B08, Trade, 541.475, 317, B08, S17, 1
B09, 9
B09, Trade, 65.525, 310, S16, B09, 1
B09, Trade, 122.900, 337, B09, S13, 1
B09, Trade, 181.825, 327, S19, B09, 1
B09, Trade, 250.525, 316, B09, S04, 1
B09, Trade, 304.500, 310, S14, B09, 1
B09, Trade, 363.950, 310, S00, B09, 1
B09, Trade, 422.075, 321, S10, B09, 1
B09, Trade, 483.975, 317, S13, B09, 1
B09, Trade, 542.100, 317, B09, S00, 1
B10, 9
B10, Trade, 65.575, 310, S14, B10, 1
B10, Trade, 122.425, 336, S14, B10, 1
B10, Trade, 185.975, 326, B10, S12, 1
B10, Trade, 243.350, 310, S02, B10, 1
B10, Trade, 304.675, 310, S00, B10, 1
B10, Trade, 366.225, 312, B10, S01, 1
B10, Trade, 423.000, 320, B10, S00, 1
B10, Trade, 483.650, 317, S02, B10, 1
B10, Trade, 542.850, 318, S13, B10, 1
B11, 9
B11, Trade, 60.250, 312, S02, B11, 1
B11, Trade, 121.475, 345, S07, B11, 1
B11, Trade, 186.400, 331, S04, B11, 1
B11, Trade, 259.575, 352, B11, S15, 1
B11, Trade, 300.825, 311, S19, B11, 1
B11, Trade, 363.575, 310, S13, B11, 1
B11, Trade, 425.900, 318, S16, B11, 1
B11, Trade, 523.225, 326, S03, B11, 1
B11, Trade, 545.325, 317, S01, B11, 1
B12, 9
B12, Trade, 68.575, 312, B12, S08, 1
B12, Trade, 125.800, 335, B12, S08, 1
B12, Trade, 181.250, 321, B12, S05, 1
B12, Trade, 242.725, 310, S13, B12, 1
B12, Trade, 304.550, 310, S16, B12, 1
B12, Trade, 364.100, 310, S17, B12, 1
B12, Trade, 422.650, 320, B12, S17, 1
B12, Trade, 482.875, 313, B12, S10, 1
B12, Trade, 544.550, 316, S14, B12, 1
B13, 9
B13, Trade, 66.350, 310, S00, B13, 1
B13, Trade, 121.725, 332, B13, S12, 1
B13, Trade, 181.775, 326, B13, S13, 1
B13, Trade, 243.925, 311, S07, B13, 1
B13, Trade, 308.175, 319, B13, S06, 1
B13, Trade, 365.875, 313, B13, S07, 1
B13, Trade, 423.200, 319, B13, S15, 1
B13, Trade, 489.450, 322, B13, S18, 1
B13, Trade, 541.625, 317, S16, B13, 1
B14, 9
B14, Trade, 75.125, 315, B14, S04, 1
B14, Trade, 122.525, 336, B14, S01, 1
B14, Trade, 184.675, 327, S00, B14, 1
B14, Trade, 250.375, 317, S10, B14, 1
B14, Trade, 307.125, 320, S18, B14, 1
B14, Trade, 364.300, 310, S10, B14, 1
B14, Trade, 422.700, 320, S02, B14, 1
B14, Trade, 482.625, 311, B14, S07, 1
B14, Trade, 541.725, 316, B14, S04, 1
B15, 9
B15, Trade, 66.000, 310, S17, B15, 1
B15, Trade, 122.600, 337, S17, B15, 1
B15, Trade, 182.450, 323, B15, S01, 1
B15, Trade, 244.625, 312, S18, B15, 1
B15, Trade, 305.675, 317, S13, B15, 1
B15, Trade, 364.225, 310, S02, B15, 1
B15, Trade, 423.100, 320, B15, S07, 1
B15, Trade, 487.725, 321, B15, S05, 1
B15, Trade, 541.700, 317, S07, B15, 1
B16, 9
B16, Trade, 62.625, 310, S13, B16, 1
B16, Trade, 120.950, 353, S16, B16, 1
B16, Trade, 182.550, 325, S07, B16, 1
B16, Trade, 243.500, 311, S17, B16, 1
B16, Trade, 303.600, 310, S07, B16, 1
B16, Trade, 366.700, 336, B16, S12, 1
B16, Trade, 425.575, 316, S19, B16, 1
B16, Trade, 483.125, 318, S00, B16, 1
B16, Trade, 540.675, 338, B16, S12, 1
B17, 9
B17, Trade, 73.625, 315, B17, S06, 1
B17, Trade, 124.925, 336, S00, B17, 1
B17, Trade, 182.000, 326, S17, B17, 1
B17, Trade, 243.125, 310, S00, B17, 1
B17, Trade, 304.825, 310, S10, B17, 1
B17, Trade, 364.450, 310, S14, B17, 1
B17, Trade, 424.100, 315, B17, S14, 1
B17, Trade, 484.075, 317, B17, S16, 1
B17, Trade, 542.400, 317, S19, B17, 1
B18, 9
B18, Trade, 66.050, 310, S10, B18, 1
B18, Trade, 123.875, 335, B18, S10, 1
B18, Trade, 181.900, 326, B18, S14, 1
B18, Trade, 243.250, 310, S01, B18, 1
B18, Trade, 304.625, 310, S02, B18, 1
B18, Trade, 364.550, 310, S19, B18, 1
B18, Trade, 421.175, 317, B18, S03, 1
B18, Trade, 482.750, 312, S17, B18, 1
B18, Trade, 543.800, 316, S02, B18, 1
B19, 9
B19, Trade, 62.875, 310, S19, B19, 1
B19, Trade, 123.500, 336, S02, B19, 1
B19, Trade, 181.000, 331, S16, B19, 1
B19, Trade, 242.650, 310, S19, B19, 1
B19, Trade, 300.300, 318, S01, B19, 1
B19, Trade, 361.350, 320, S05, B19, 1
B19, Trade, 424.925, 316, S01, B19, 1
B19, Trade, 482.900, 315, S01, B19, 1
B19, Trade, 542.950, 318, S10, B19, 1
S00, 9
S00, Trade, 66.350, 310, S00, B13, 1
S00, Trade, 124.925, 336, S00, B17, 1
S00, Trade, 184.675, 327, S00, B14, 1
S00, Trade, 243.125, 310, S00, B17, 1
S00, Trade, 304.675, 310, S00, B10, 1
S00, Trade, 363.950, 310, S00, B09, 1
S00, Trade, 423.000, 320, B10, S00, 1
S00, Trade, 483.125, 318, S00, B16, 1
S00, Trade, 542.100, 317, B09, S00, 1
S01, 9
S01, Trade, 63.425, 310, S01, B07, 1
S01, Trade, 122.525, 336, B14, S01, 1
S01, Trade, 182.450, 323, B15, S01, 1
S01, Trade, 243.250, 310, S01, B18, 1
S01, Trade, 300.300, 318, S01, B19, 1
S01, Trade, 366.225, 312, B10, S01, 1
S01, Trade, 424.925, 316, S01, B19, 1
S01, Trade, 482.900, 315, S01, B19, 1
S01, Trade, 545.325, 317, S01, B11, 1
S02, 9
S02, Trade, 60.250, 312, S02, B11, 1
S02, Trade, 123.500, 336, S02, B19, 1
S02, Trade, 184.425, 327, S02, B08, 1
S02, Trade, 243.350, 310, S02, B10, 1
S02, Trade, 304.625, 310, S02, B18, 1
S02, Trade, 364.225, 310, S02, B15, 1
S02, Trade, 422.700, 320, S02, B14, 1
S02, Trade, 483.650, 317, S02, B10, 1
S02, Trade, 543.800, 316, S02, B18, 1
S03, 6
S03, Trade, 67.450, 313, B05, S03, 1
S03, Trade, 328.825, 327, S03, B07, 1
S03, Trade, 369.525, 313, B05, S03, 1
S03, Trade, 421.175, 317, B18, S03, 1
S03, Trade, 523.225, 326, S03, B11, 1
S03, Trade, 554.375, 321, B06, S03, 1
S04, 6
S04, Trade, 75.125, 315, B14, S04, 1
S04, Trade, 186.400, 331, S04, B11, 1
S04, Trade, 250.525, 316, B09, S04, 1
S04, Trade, 422.150, 323, S04, B07, 1
S04, Trade, 505.300, 312, S04, B06, 1
S04, Trade, 541.725, 316, B14, S04, 1
S05, 3
S05, Trade, 181.250, 321, B12, S05, 1
S05, Trade, 361.350, 320, S05, B19, 1
S05, Trade, 487.725, 321, B15, S05, 1
S06, 3
S06, Trade, 73.625, 315, B17, S06, 1
S06, Trade, 308.175, 319, B13, S06, 1
S06, Trade, 437.175, 313, B05, S06, 1
S07, 9
S07, Trade, 65.775, 310, S07, B08, 1
S07, Trade, 121.475, 345, S07, B11, 1
S07, Trade, 182.550, 325, S07, B16, 1
S07, Trade, 243.925, 311, S07, B13, 1
S07, Trade, 303.600, 310, S07, B16, 1
S07, Trade, 365.875, 313, B13, S07, 1
S07, Trade, 423.100, 320, B15, S07, 1
S07, Trade, 482.625, 311, B14, S07, 1
S07, Trade, 541.700, 317, S07, B15, 1
S08, 5
S08, Trade, 68.575, 312, B12, S08, 1
S08, Trade, 125.800, 335, B12, S08, 1
S08, Trade, 244.950, 311, B08, S08, 1
S08, Trade, 306.450, 318, S08, B08, 1
S08, Trade, 599.900, 326, B07, S08, 1
S09, 2
S09, Trade, 126.850, 313, B05, S09, 1
S09, Trade, 391.275, 310, S09, B07, 1
S10, 9
S10, Trade, 66.050, 310, S10, B18, 1
S10, Trade, 123.875, 335, B18, S10, 1
S10, Trade, 181.400, 330, S10, B07, 1
S10, Trade, 250.375, 317, S10, B14, 1
S10, Trade, 304.825, 310, S10, B17, 1
S10, Trade, 364.300, 310, S10, B14, 1
S10, Trade, 422.075, 321, S10, B09, 1
S10, Trade, 482.875, 313, B12, S10, 1
S10, Trade, 542.950, 318, S10, B19, 1
S11, 3
S11, Trade, 91.775, 322, B06, S11, 1
S11, Trade, 491.900, 320, B07, S11, 1
S11, Trade, 545.175, 313, B05, S11, 1
S12, 5
S12, Trade, 121.725, 332, B13, S12, 1
S12, Trade, 185.975, 326, B10, S12, 1
S12, Trade, 341.350, 323, B06, S12, 1
S12, Trade, 366.700, 336, B16, S12, 1
S12, Trade, 540.675, 338, B16, S12, 1
S13, 9
S13, Trade, 62.625, 310, S13, B16, 1
S13, Trade, 122.900, 337, B09, S13, 1
S13, Trade, 181.775, 326, B13, S13, 1
S13, Trade, 242.725, 310, S13, B12, 1
S13, Trade, 305.675, 317, S13, B15, 1
S13, Trade, 363.575, 310, S13, B11, 1
S13, Trade, 422.000, 321, B08, S13, 1
S13, Trade, 483.975, 317, S13, B09, 1
S13, Trade, 542.850, 318, S13, B10, 1
S14, 9
S14, Trade, 65.575, 310, S14, B10, 1
S14, Trade, 122.425, 336, S14, B10, 1
S14, Trade, 181.900, 326, B18, S14, 1
S14, Trade, 243.425, 310, S14, B07, 1
S14, Trade, 304.500, 310, S14, B09, 1
S14, Trade, 364.450, 310, S14, B17, 1
S14, Trade, 424.100, 315, B17, S14, 1
S14, Trade, 482.275, 313, B05, S14, 1
S14, Trade, 544.550, 316, S14, B12, 1
S15, 4
S15, Trade, 146.500, 332, S15, B07, 1
S15, Trade, 191.425, 313, B05, S15, 1
S15, Trade, 259.575, 352, B11, S15, 1
S15, Trade, 423.200, 319, B13, S15, 1
S16, 9
S16, Trade, 65.525, 310, S16, B09, 1
S16, Trade, 120.950, 353, S16, B16, 1
S16, Trade, 181.000, 331, S16, B19, 1
S16, Trade, 243.450, 310, S16, B05, 1
S16, Trade, 304.550, 310, S16, B12, 1
S16, Trade, 364.275, 310, S16, B08, 1
S16, Trade, 425.900, 318, S16, B11, 1
S16, Trade, 484.075, 317, B17, S16, 1
S16, Trade, 541.625, 317, S16, B13, 1
S17, 9
S17, Trade, 66.000, 310, S17, B15, 1
S17, Trade, 122.600, 337, S17, B15, 1
S17, Trade, 182.000, 326, S17, B17, 1
S17, Trade, 243.500, 311, S17, B16, 1
S17, Trade, 304.375, 310, S17, B05, 1
S17, Trade, 364.100, 310, S17, B12, 1
S17, Trade, 422.650, 320, B12, S17, 1
S17, Trade, 482.750, 312, S17, B18, 1
S17, Trade, 541.475, 317, B08, S17, 1
S18, 4
S18, Trade, 121.625, 333, B08, S18, 1
S18, Trade, 244.625, 312, S18, B15, 1
S18, Trade, 307.125, 320, S18, B14, 1
S18, Trade, 489.450, 322, B13, S18, 1
S19, 9
S19, Trade, 62.875, 310, S19, B19, 1
S19, Trade, 130.775, 310, S19, B06, 1
S19, Trade, 181.825, 327, S19, B09, 1
S19, Trade, 242.650, 310, S19, B19, 1
S19, Trade, 300.825, 311, S19, B11, 1
S19, Trade, 364.550, 310, S19, B18, 1
S19, Trade, 425.575, 316, S19, B16, 1
S19, Trade, 482.475, 312, B08, S19, 1
S19, Trade, 542.400, 317, S19, B17, 1
