B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 9
B05, Trade, 90.275, 310, S03, B05, 1
B05, Trade, 145.375, 310, S07, B05, 1
B05, Trade, 181.150, 311, S02, B05, 1
B05, Trade, 242.875, 310, S14, B05, 1
B05, Trade, 305.350, 310, S16, B05, 1
B05, Trade, 373.200, 313, B05, S15, 1
B05, Trade, 422.200, 310, S12, B05, 1
B05, Trade, 488.100, 310, S16, B05, 1
B05, Trade, 546.225, 313, B05, S15, 1
B06, 9
B06, Trade, 65.775, 310, S05, B06, 1
B06, Trade, 124.225, 310, S17, B06, 1
B06, Trade, 181.425, 311, S07, B06, 1
B06, Trade, 244.625, 310, S19, B06, 1
B06, Trade, 303.750, 310, S15, B06, 1
B06, Trade, 370.675, 325, B06, S09, 1
B06, Trade, 421.525, 310, S07, B06, 1
B06, Trade, 486.925, 310, S02, B06, 1
B06, Trade, 544.200, 317, S09, B06, 1
B07, 9
B07, Trade, 65.075, 310, S19, B07, 1
B07, Trade, 122.550, 310, S19, B07, 1
B07, Trade, 187.750, 310, S08, B07, 1
B07, Trade, 243.100, 310, S01, B07, 1
B07, Trade, 303.600, 310, S01, B07, 1
B07, Trade, 367.925, 338, B07, S02, 1
B07, Trade, 421.350, 310, S17, B07, 1
B07, Trade, 486.275, 310, S15, B07, 1
B07, Trade, 545.725, 313, B07, S07, 1
B08, 9
B08, Trade, 66.975, 310, S04, B08, 1
B08, Trade, 123.275, 310, S08, B08, 1
B08, Trade, 187.925, 310, S18, B08, 1
B08, Trade, 242.225, 310, S12, B08, 1
B08, Trade, 303.425, 310, S09, B08, 1
B08, Trade, 366.475, 351, B08, S14, 1
B08, Trade, 421.600, 310, S15, B08, 1
B08, Trade, 486.775, 310, S05, B08, 1
B08, Trade, 546.425, 312, B08, S04, 1
B09, 9
B09, Trade, 66.550, 310, S02, B09, 1
B09, Trade, 123.625, 310, S01, B09, 1
B09, Trade, 182.125, 311, B09, S04, 1
B09, Trade, 242.200, 310, S17, B09, 1
B09, Trade, 306.550, 310, S05, B09, 1
B09, Trade, 364.625, 363, B09, S10, 1
B09, Trade, 421.550, 310, S04, B09, 1
B09, Trade, 487.375, 310, S08, B09, 1
B09, Trade, 545.000, 315, B09, S18, 1
B10, 9
B10, Trade, 65.200, 310, S18, B10, 1
B10, Trade, 122.575, 310, S02, B10, 1
B10, Trade, 181.100, 311, B10, S19, 1
B10, Trade, 241.850, 310, S15, B10, 1
B10, Trade, 304.000, 310, S14, B10, 1
B10, Trade, 363.425, 373, B10, S11, 1
B10, Trade, 428.525, 318, S16, B10, 1
B10, Trade, 486.350, 310, S07, B10, 1
B10, Trade, 569.425, 310, S02, B10, 1
B11, 9
B11, Trade, 63.425, 310, S10, B11, 1
B11, Trade, 134.900, 310, S12, B11, 1
B11, Trade, 184.750, 310, S10, B11, 1
B11, Trade, 243.675, 310, S05, B11, 1
B11, Trade, 302.775, 310, S17, B11, 1
B11, Trade, 363.850, 371, B11, S03, 1
B11, Trade, 421.700, 310, S14, B11, 1
B11, Trade, 488.725, 310, S19, B11, 1
B11, Trade, 549.150, 310, S16, B11, 1
B12, 9
B12, Trade, 64.600, 310, S15, B12, 1
B12, Trade, 123.700, 310, S09, B12, 1
B12, Trade, 187.775, 310, S01, B12, 1
B12, Trade, 242.000, 310, S03, B12, 1
B12, Trade, 306.125, 310, S19, B12, 1
B12, Trade, 363.075, 377, S07, B12, 1
B12, Trade, 423.075, 311, S19, B12, 1
B12, Trade, 486.450, 310, S09, B12, 1
B12, Trade, 544.625, 315, S05, B12, 1
B13, 9
B13, Trade, 64.575, 310, S17, B13, 1
B13, Trade, 123.600, 310, S03, B13, 1
B13, Trade, 191.675, 310, S17, B13, 1
B13, Trade, 242.625, 310, S04, B13, 1
B13, Trade, 304.600, 310, S03, B13, 1
B13, Trade, 361.700, 385, B13, S13, 1
B13, Trade, 422.150, 310, S09, B13, 1
B13, Trade, 488.200, 310, S03, B13, 1
B13, Trade, 544.550, 315, B13, S17, 1
B14, 9
B14, Trade, 64.675, 310, S08, B14, 1
B14, Trade, 125.625, 310, S10, B14, 1
B14, Trade, 181.900, 311, B14, S09, 1
B14, Trade, 244.700, 310, S07, B14, 1
B14, Trade, 301.725, 310, S10, B14, 1
B14, Trade, 368.200, 338, S04, B14, 1
B14, Trade, 424.150, 348, S03, B14, 1
B14, Trade, 483.225, 310, S17, B14, 1
B14, Trade, 541.850, 352, S14, B14, 1
B15, 9
B15, Trade, 67.425, 310, S12, B15, 1
B15, Trade, 122.875, 310, S16, B15, 1
B15, Trade, 181.675, 311, B15, S05, 1
B15, Trade, 242.275, 310, S08, B15, 1
B15, Trade, 305.950, 310, S18, B15, 1
