0.000, Bid:,0,Ask:,0,
60.025, Bid:,1,1,1,Ask:,0,
60.050, Bid:,2,1,1,2,1,Ask:,0,
60.075, Bid:,3,1,1,2,1,328,1,Ask:,0,
60.100, Bid:,4,1,1,2,1,328,1,370,1,Ask:,0,
60.125, Bid:,4,1,1,2,1,328,1,370,1,Ask:,1,496,1,
60.150, Bid:,4,2,1,328,1,370,1,371,1,Ask:,1,496,1,
60.175, Bid:,4,2,1,328,1,370,1,371,1,Ask:,2,469,1,496,1,
60.200, Bid:,5,2,1,328,1,338,1,370,1,371,1,Ask:,2,469,1,496,1,
60.225, Bid:,6,2,1,328,1,338,1,370,1,371,1,372,1,Ask:,2,469,1,496,1,
60.250, Bid:,5,2,1,328,1,338,1,370,1,371,1,Ask:,2,469,1,496,1,
60.275, Bid:,6,2,1,250,1,328,1,338,1,370,1,371,1,Ask:,2,469,1,496,1,
60.300, Bid:,6,2,1,250,1,328,1,338,1,370,1,371,1,Ask:,3,375,1,469,1,496,1,
60.325, Bid:,5,2,1,250,1,328,1,338,1,370,1,Ask:,2,375,1,469,1,
60.350, Bid:,6,2,1,250,1,328,1,338,1,370,1,371,1,Ask:,2,375,1,469,1,
60.375, Bid:,5,2,1,250,1,328,1,338,1,370,1,Ask:,1,469,1,
60.400, Bid:,5,2,1,250,1,328,1,338,1,370,1,Ask:,2,463,1,469,1,
60.425, Bid:,5,2,1,250,1,328,1,338,1,370,1,Ask:,3,462,1,463,1,469,1,
60.450, Bid:,6,2,1,129,1,250,1,328,1,338,1,370,1,Ask:,3,462,1,463,1,469,1,
60.475, Bid:,7,2,1,129,1,250,1,325,1,328,1,338,1,370,1,Ask:,3,462,1,463,1,469,1,
60.500, Bid:,7,2,1,129,1,250,1,325,1,328,1,338,1,370,1,Ask:,4,461,1,462,1,463,1,469,1,
60.525, Bid:,6,2,1,129,1,250,1,325,1,328,1,338,1,Ask:,4,461,1,462,1,463,1,469,1,
60.550, Bid:,6,2,1,129,1,250,1,325,1,328,1,338,1,Ask:,5,461,1,462,1,463,1,468,1,469,1,
60.575, Bid:,6,2,1,129,1,250,1,325,1,328,1,338,1,Ask:,6,460,1,461,1,462,1,463,1,468,1,469,1,
60.600, Bid:,7,2,1,74,1,129,1,250,1,325,1,328,1,338,1,Ask:,6,460,1,461,1,462,1,463,1,468,1,469,1,
60.625, Bid:,8,2,1,74,1,129,1,217,1,250,1,325,1,328,1,338,1,Ask:,6,460,1,461,1,462,1,463,1,468,1,469,1,
60.650, Bid:,8,2,1,129,1,217,1,230,1,250,1,325,1,328,1,338,1,Ask:,6,460,1,461,1,462,1,463,1,468,1,469,1,
60.675, Bid:,8,2,1,129,1,217,1,230,1,250,1,325,1,328,1,338,1,Ask:,7,459,1,460,1,461,1,462,1,463,1,468,1,469,1,
60.700, Bid:,8,2,1,129,1,217,1,230,1,250,1,325,1,328,1,338,1,Ask:,8,458,1,459,1,460,1,461,1,462,1,463,1,468,1,469,1,
60.725, Bid:,9,2,1,129,1,217,1,230,1,250,1,300,1,325,1,328,1,338,1,Ask:,8,458,1,459,1,460,1,461,1,462,1,463,1,468,1,469,1,
60.825, Bid:,9,2,1,129,1,217,1,230,1,250,1,300,1,325,1,328,1,338,1,Ask:,9,457,1,458,1,459,1,460,1,461,1,462,1,463,1,468,1,469,1,
60.875, Bid:,9,2,1,129,1,217,1,230,1,250,1,300,1,325,1,328,1,338,1,Ask:,10,416,1,457,1,458,1,459,1,460,1,461,1,462,1,463,1,468,1,469,1,
60.900, Bid:,9,2,1,129,1,217,1,230,1,250,1,300,1,325,1,328,1,338,1,Ask:,10,415,1,416,1,458,1,459,1,460,1,461,1,462,1,463,1,468,1,469,1,
60.925, Bid:,9,2,1,129,1,217,1,230,1,250,1,300,1,325,1,328,1,338,1,Ask:,10,415,1,416,1,458,1,459,1,460,1,461,1,462,1,468,1,469,1,486,1,
60.950, Bid:,9,2,1,129,1,217,1,230,1,250,1,300,1,325,1,328,1,338,1,Ask:,10,415,1,416,1,458,1,459,1,460,1,461,1,462,1,467,1,469,1,486,1,
60.975, Bid:,10,2,1,129,1,217,1,230,1,250,1,300,1,313,1,325,1,328,1,338,1,Ask:,10,415,1,416,1,458,1,459,1,460,1,461,1,462,1,467,1,469,1,486,1,
61.025, Bid:,10,2,1,129,1,217,1,230,1,250,1,300,1,313,1,325,1,328,1,338,1,Ask:,10,414,1,416,1,458,1,459,1,460,1,461,1,462,1,467,1,469,1,486,1,
61.050, Bid:,10,2,1,129,1,217,1,230,1,250,1,300,1,313,1,325,1,328,1,338,1,Ask:,10,371,1,414,1,416,1,458,1,459,1,460,1,461,1,462,1,467,1,469,1,
61.075, Bid:,9,2,1,129,1,217,1,230,2,250,1,300,1,313,1,325,1,338,1,Ask:,10,371,1,414,1,416,1,458,1,459,1,460,1,461,1,462,1,467,1,469,1,
61.100, Bid:,9,2,1,129,1,217,1,230,2,250,1,300,1,313,1,325,1,338,1,Ask:,10,370,1,371,1,416,1,458,1,459,1,460,1,461,1,462,1,467,1,469,1,
61.125, Bid:,10,2,1,106,1,129,1,217,1,230,2,250,1,300,1,313,1,325,1,338,1,Ask:,10,370,1,371,1,416,1,458,1,459,1,460,1,461,1,462,1,467,1,469,1,
61.150, Bid:,10,2,1,106,1,129,1,176,1,230,2,250,1,300,1,313,1,325,1,338,1,Ask:,10,370,1,371,1,416,1,458,1,459,1,460,1,461,1,462,1,467,1,469,1,
61.175, Bid:,10,2,1,106,1,129,1,176,1,230,1,250,1,300,1,313,1,325,1,338,1,Ask:,9,371,1,416,1,458,1,459,1,460,1,461,1,462,1,467,1,469,1,
61.225, Bid:,10,2,1,106,1,129,1,176,1,230,1,250,1,300,1,313,1,325,1,338,1,Ask:,10,349,1,371,1,416,1,458,1,459,1,460,1,461,1,462,1,467,1,469,1,
61.250, Bid:,10,2,1,106,1,129,1,176,1,230,1,250,1,300,1,313,1,325,1,338,1,Ask:,11,349,1,365,1,371,1,416,1,458,1,459,1,460,1,461,1,462,1,467,1,469,1,
61.275, Bid:,10,2,1,5,1,106,1,176,1,230,1,250,1,300,1,313,1,325,1,338,1,Ask:,11,349,1,365,1,371,1,416,1,458,1,459,1,460,1,461,1,462,1,467,1,469,1,
61.300, Bid:,10,2,1,5,1,106,1,176,1,230,1,250,1,300,1,313,1,325,1,338,1,Ask:,11,348,1,349,1,365,1,371,1,416,1,458,1,460,1,461,1,462,1,467,1,469,1,
61.325, Bid:,10,2,1,5,1,106,1,176,1,230,1,250,1,300,1,313,1,325,1,338,1,Ask:,11,347,1,348,1,349,1,365,1,371,1,416,1,458,1,460,1,462,1,467,1,469,1,
61.350, Bid:,9,2,1,5,1,106,1,176,1,230,1,250,1,300,1,313,1,325,1,Ask:,10,347,1,348,1,349,1,365,1,371,1,416,1,458,1,460,1,462,1,467,1,
