0.000, Bid:,0,Ask:,0,
60.025, Bid:,1,153,1,Ask:,0,
60.050, Bid:,2,147,1,153,1,Ask:,0,
60.075, Bid:,2,147,1,153,1,Ask:,1,391,1,
60.100, Bid:,2,21,1,153,1,Ask:,1,391,1,
60.125, Bid:,2,21,1,153,1,Ask:,1,419,1,
60.150, Bid:,2,21,1,153,1,Ask:,2,418,1,419,1,
60.175, Bid:,2,21,1,64,1,Ask:,2,418,1,419,1,
60.200, Bid:,3,10,1,21,1,64,1,Ask:,2,418,1,419,1,
60.225, Bid:,3,10,1,21,1,64,1,Ask:,3,418,1,419,1,457,1,
60.250, Bid:,4,10,1,21,1,64,1,65,1,Ask:,3,418,1,419,1,457,1,
60.275, Bid:,4,21,1,64,1,65,1,137,1,Ask:,3,418,1,419,1,457,1,
60.300, Bid:,4,21,1,64,1,65,1,137,1,Ask:,4,313,1,418,1,419,1,457,1,
60.325, Bid:,5,21,1,64,1,65,1,137,1,138,1,Ask:,4,313,1,418,1,419,1,457,1,
60.350, Bid:,5,21,1,64,1,65,1,137,1,138,1,Ask:,4,370,1,418,1,419,1,457,1,
60.375, Bid:,5,21,1,64,1,65,1,137,1,138,1,Ask:,5,370,1,418,1,419,1,430,1,457,1,
60.400, Bid:,5,21,1,64,1,65,1,137,1,138,1,Ask:,6,362,1,370,1,418,1,419,1,430,1,457,1,
60.425, Bid:,5,21,1,65,1,137,1,138,1,313,1,Ask:,6,362,1,370,1,418,1,419,1,430,1,457,1,
60.450, Bid:,5,21,1,65,1,98,1,138,1,313,1,Ask:,6,362,1,370,1,418,1,419,1,430,1,457,1,
60.475, Bid:,5,21,1,65,1,98,1,138,1,313,1,Ask:,7,361,1,362,1,370,1,418,1,419,1,430,1,457,1,
60.500, Bid:,5,21,1,65,1,98,1,138,1,313,1,Ask:,7,361,1,362,1,370,1,418,1,430,1,457,1,464,1,
60.525, Bid:,5,21,1,65,1,98,1,138,1,313,1,Ask:,8,360,1,361,1,362,1,370,1,418,1,430,1,457,1,464,1,
60.550, Bid:,5,21,1,65,1,98,1,138,1,313,1,Ask:,9,359,1,360,1,361,1,362,1,370,1,418,1,430,1,457,1,464,1,
60.575, Bid:,5,21,1,65,1,98,1,138,1,313,1,Ask:,9,358,1,360,1,361,1,362,1,370,1,418,1,430,1,457,1,464,1,
60.600, Bid:,6,21,1,65,1,98,1,108,1,138,1,313,1,Ask:,9,358,1,360,1,361,1,362,1,370,1,418,1,430,1,457,1,464,1,
60.625, Bid:,6,21,1,65,1,98,1,108,1,138,1,313,2,Ask:,9,358,1,360,1,361,1,362,1,370,1,418,1,430,1,457,1,464,1,
60.650, Bid:,7,21,1,65,1,98,1,108,1,138,1,287,1,313,2,Ask:,9,358,1,360,1,361,1,362,1,370,1,418,1,430,1,457,1,464,1,
60.675, Bid:,7,21,1,65,1,98,1,108,1,138,1,287,1,313,2,Ask:,9,358,1,360,1,361,1,362,1,370,1,418,1,428,1,457,1,464,1,
60.700, Bid:,7,21,1,65,1,98,1,108,1,138,1,287,1,313,2,Ask:,10,358,1,360,1,361,1,362,1,370,1,418,1,428,1,457,1,464,1,491,1,
60.750, Bid:,8,21,1,65,1,98,1,108,1,138,1,275,1,287,1,313,2,Ask:,10,358,1,360,1,361,1,362,1,370,1,418,1,428,1,457,1,464,1,491,1,
60.775, Bid:,8,21,1,65,1,98,1,108,1,138,1,275,1,287,1,313,2,Ask:,10,358,1,360,1,361,1,370,1,388,1,418,1,428,1,457,1,464,1,491,1,
60.800, Bid:,8,21,1,65,1,98,1,108,1,138,1,275,1,287,1,313,1,Ask:,9,360,1,361,1,370,1,388,1,418,1,428,1,457,1,464,1,491,1,
60.825, Bid:,8,21,1,65,1,98,1,108,1,138,1,275,1,287,1,313,1,Ask:,9,359,1,360,1,361,1,370,1,388,1,428,1,457,1,464,1,491,1,
60.850, Bid:,9,21,1,65,1,98,1,108,1,138,1,203,1,275,1,287,1,313,1,Ask:,9,359,1,360,1,361,1,370,1,388,1,428,1,457,1,464,1,491,1,
60.875, Bid:,9,21,1,65,1,98,1,108,1,138,1,203,1,275,1,287,1,313,1,Ask:,10,359,1,360,1,361,1,370,1,388,1,428,1,457,1,464,1,491,1,497,1,
60.900, Bid:,9,21,1,65,1,108,1,109,1,138,1,203,1,275,1,287,1,313,1,Ask:,10,359,1,360,1,361,1,370,1,388,1,428,1,457,1,464,1,491,1,497,1,
60.925, Bid:,9,21,1,65,1,108,1,109,1,138,1,203,1,275,1,287,1,313,1,Ask:,11,359,1,360,1,361,1,370,1,388,1,428,1,436,1,457,1,464,1,491,1,497,1,
60.950, Bid:,9,21,1,65,1,109,1,138,1,203,1,267,1,275,1,287,1,313,1,Ask:,11,359,1,360,1,361,1,370,1,388,1,428,1,436,1,457,1,464,1,491,1,497,1,
60.975, Bid:,10,21,1,65,1,109,1,138,1,203,1,267,1,275,1,287,1,313,1,314,1,Ask:,11,359,1,360,1,361,1,370,1,388,1,428,1,436,1,457,1,464,1,491,1,497,1,
61.000, Bid:,10,21,1,65,1,109,1,138,1,203,1,267,1,275,1,287,1,313,1,315,1,Ask:,11,359,1,360,1,361,1,370,1,388,1,428,1,436,1,457,1,464,1,491,1,497,1,
61.025, Bid:,10,65,1,109,1,111,1,138,1,203,1,267,1,275,1,287,1,313,1,315,1,Ask:,11,359,1,360,1,361,1,370,1,388,1,428,1,436,1,457,1,464,1,491,1,497,1,
61.050, Bid:,11,55,1,65,1,109,1,111,1,138,1,203,1,267,1,275,1,287,1,313,1,315,1,Ask:,11,359,1,360,1,361,1,370,1,388,1,428,1,436,1,457,1,464,1,491,1,497,1,
61.100, Bid:,11,55,1,65,1,109,1,111,1,138,1,203,1,267,1,275,1,287,1,313,1,315,1,Ask:,12,358,1,359,1,360,1,361,1,370,1,388,1,428,1,436,1,457,1,464,1,491,1,497,1,
61.125, Bid:,11,55,1,65,1,109,1,111,1,138,1,203,1,267,1,275,1,287,1,313,1,315,1,Ask:,12,358,1,359,1,360,1,361,1,370,1,388,1,428,1,436,1,441,1,457,1,464,1,497,1,
61.150, Bid:,11,55,1,65,1,109,1,111,1,138,1,203,1,267,1,275,1,287,1,313,1,315,1,Ask:,12,357,1,359,1,360,1,361,1,370,1,388,1,428,1,436,1,441,1,457,1,464,1,497,1,
