t=,31372, id=,B01, ZIPSH,actvstrat=,mBuy=,-0.050, mSel=,+0.050, b=,0.010, m=,0.028, ca=,0.0308, cr=,0.0227,  actvprof=,0.004448, best_B_id=,B01, best_B_prof=,0.004448, best_B_strat=, mBuy=,-0.050, mSel=,+0.050, b=,0.010, m=,0.028, ca=,0.0308, cr=,0.0227, 
t=,62744, id=,B01, ZIPSH,actvstrat=,mBuy=,-0.056, mSel=,+0.038, b=,0.000, m=,0.032, ca=,0.0405, cr=,0.0235,  actvprof=,0.008316, best_B_id=,B01, best_B_prof=,0.008316, best_B_strat=, mBuy=,-0.056, mSel=,+0.038, b=,0.000, m=,0.032, ca=,0.0405, cr=,0.0235, 
t=,94117, id=,B01, ZIPSH,actvstrat=,mBuy=,-0.012, mSel=,+0.000, b=,0.000, m=,0.032, ca=,0.0465, cr=,0.0228,  actvprof=,0.010488, best_B_id=,B01, best_B_prof=,0.010488, best_B_strat=, mBuy=,-0.012, mSel=,+0.000, b=,0.000, m=,0.032, ca=,0.0465, cr=,0.0228, 
t=,125489, id=,B01, ZIPSH,actvstrat=,mBuy=,-0.025, mSel=,+0.003, b=,0.000, m=,0.054, ca=,0.0463, cr=,0.0293,  actvprof=,0.006988, best_B_id=,B01, best_B_prof=,0.006988, best_B_strat=, mBuy=,-0.025, mSel=,+0.003, b=,0.000, m=,0.054, ca=,0.0463, cr=,0.0293, 
t=,156861, id=,B01, ZIPSH,actvstrat=,mBuy=,-0.021, mSel=,+0.000, b=,0.034, m=,0.056, ca=,0.0433, cr=,0.0297,  actvprof=,0.005939, best_B_id=,B01, best_B_prof=,0.005939, best_B_strat=, mBuy=,-0.021, mSel=,+0.000, b=,0.034, m=,0.056, ca=,0.0433, cr=,0.0297, 
t=,188233, id=,B01, ZIPSH,actvstrat=,mBuy=,-0.032, mSel=,+0.014, b=,0.021, m=,0.045, ca=,0.0469, cr=,0.0317,  actvprof=,0.003834, best_B_id=,B01, best_B_prof=,0.003834, best_B_strat=, mBuy=,-0.032, mSel=,+0.014, b=,0.021, m=,0.045, ca=,0.0469, cr=,0.0317, 
t=,219605, id=,B01, ZIPSH,actvstrat=,mBuy=,-0.067, mSel=,+0.035, b=,0.025, m=,0.008, ca=,0.0440, cr=,0.0311,  actvprof=,0.006518, best_B_id=,B01, best_B_prof=,0.006518, best_B_strat=, mBuy=,-0.067, mSel=,+0.035, b=,0.025, m=,0.008, ca=,0.0440, cr=,0.0311, 
t=,250978, id=,B01, ZIPSH,actvstrat=,mBuy=,-0.041, mSel=,+0.039, b=,0.066, m=,0.047, ca=,0.0492, cr=,0.0311,  actvprof=,0.004534, best_B_id=,B01, best_B_prof=,0.004534, best_B_strat=, mBuy=,-0.041, mSel=,+0.039, b=,0.066, m=,0.047, ca=,0.0492, cr=,0.0311, 
t=,282350, id=,B01, ZIPSH,actvstrat=,mBuy=,-0.041, mSel=,+0.039, b=,0.066, m=,0.047, ca=,0.0492, cr=,0.0311,  actvprof=,0.006419, best_B_id=,B01, best_B_prof=,0.006419, best_B_strat=, mBuy=,-0.041, mSel=,+0.039, b=,0.066, m=,0.047, ca=,0.0492, cr=,0.0311, 
t=,313723, id=,B01, ZIPSH,actvstrat=,mBuy=,-0.032, mSel=,+0.025, b=,0.080, m=,0.038, ca=,0.0477, cr=,0.0299,  actvprof=,0.004979, best_B_id=,B01, best_B_prof=,0.004979, best_B_strat=, mBuy=,-0.032, mSel=,+0.025, b=,0.080, m=,0.038, ca=,0.0477, cr=,0.0299, 
t=,345096, id=,B01, ZIPSH,actvstrat=,mBuy=,-0.017, mSel=,+0.017, b=,0.091, m=,0.044, ca=,0.0435, cr=,0.0321,  actvprof=,0.007091, best_B_id=,B01, best_B_prof=,0.007091, best_B_strat=, mBuy=,-0.017, mSel=,+0.017, b=,0.091, m=,0.044, ca=,0.0435, cr=,0.0321, 
t=,376468, id=,B01, ZIPSH,actvstrat=,mBuy=,-0.028, mSel=,+0.068, b=,0.065, m=,0.001, ca=,0.0417, cr=,0.0294,  actvprof=,0.007065, best_B_id=,B01, best_B_prof=,0.007065, best_B_strat=, mBuy=,-0.028, mSel=,+0.068, b=,0.065, m=,0.001, ca=,0.0417, cr=,0.0294, 
t=,407841, id=,B01, ZIPSH,actvstrat=,mBuy=,-0.034, mSel=,+0.083, b=,0.077, m=,0.005, ca=,0.0460, cr=,0.0286,  actvprof=,0.006464, best_B_id=,B01, best_B_prof=,0.006464, best_B_strat=, mBuy=,-0.034, mSel=,+0.083, b=,0.077, m=,0.005, ca=,0.0460, cr=,0.0286, 
t=,439214, id=,B01, ZIPSH,actvstrat=,mBuy=,-0.046, mSel=,+0.080, b=,0.070, m=,0.043, ca=,0.0470, cr=,0.0310,  actvprof=,0.006782, best_B_id=,B01, best_B_prof=,0.006782, best_B_strat=, mBuy=,-0.046, mSel=,+0.080, b=,0.070, m=,0.043, ca=,0.0470, cr=,0.0310, 
t=,470586, id=,B01, ZIPSH,actvstrat=,mBuy=,-0.008, mSel=,+0.112, b=,0.083, m=,0.000, ca=,0.0444, cr=,0.0304,  actvprof=,0.006549, best_B_id=,B01, best_B_prof=,0.006549, best_B_strat=, mBuy=,-0.008, mSel=,+0.112, b=,0.083, m=,0.000, ca=,0.0444, cr=,0.0304, 
t=,501959, id=,B01, ZIPSH,actvstrat=,mBuy=,+0.000, mSel=,+0.113, b=,0.131, m=,0.013, ca=,0.0473, cr=,0.0261,  actvprof=,0.007009, best_B_id=,B01, best_B_prof=,0.007009, best_B_strat=, mBuy=,+0.000, mSel=,+0.113, b=,0.131, m=,0.013, ca=,0.0473, cr=,0.0261, 
t=,533331, id=,B01, ZIPSH,actvstrat=,mBuy=,-0.009, mSel=,+0.145, b=,0.161, m=,0.000, ca=,0.0481, cr=,0.0290,  actvprof=,0.008059, best_B_id=,B01, best_B_prof=,0.008059, best_B_strat=, mBuy=,-0.009, mSel=,+0.145, b=,0.161, m=,0.000, ca=,0.0481, cr=,0.0290, 
t=,564703, id=,B01, ZIPSH,actvstrat=,mBuy=,-0.014, mSel=,+0.172, b=,0.167, m=,0.018, ca=,0.0449, cr=,0.0259,  actvprof=,0.006443, best_B_id=,B01, best_B_prof=,0.006443, best_B_strat=, mBuy=,-0.014, mSel=,+0.172, b=,0.167, m=,0.018, ca=,0.0449, cr=,0.0259, 
t=,596075, id=,B01, ZIPSH,actvstrat=,mBuy=,-0.022, mSel=,+0.213, b=,0.173, m=,0.025, ca=,0.0480, cr=,0.0269,  actvprof=,0.008647, best_B_id=,B01, best_B_prof=,0.008647, best_B_strat=, mBuy=,-0.022, mSel=,+0.213, b=,0.173, m=,0.025, ca=,0.0480, cr=,0.0269, 
t=,627448, id=,B01, ZIPSH,actvstrat=,mBuy=,-0.022, mSel=,+0.213, b=,0.173, m=,0.025, ca=,0.0480, cr=,0.0269,  actvprof=,0.006252, best_B_id=,B01, best_B_prof=,0.006252, best_B_strat=, mBuy=,-0.022, mSel=,+0.213, b=,0.173, m=,0.025, ca=,0.0480, cr=,0.0269, 
t=,658820, id=,B01, ZIPSH,actvstrat=,mBuy=,-0.022, mSel=,+0.213, b=,0.173, m=,0.025, ca=,0.0480, cr=,0.0269,  actvprof=,0.008252, best_B_id=,B01, best_B_prof=,0.008252, best_B_strat=, mBuy=,-0.022, mSel=,+0.213, b=,0.173, m=,0.025, ca=,0.0480, cr=,0.0269, 
t=,690192, id=,B01, ZIPSH,actvstrat=,mBuy=,+0.000, mSel=,+0.226, b=,0.188, m=,0.030, ca=,0.0442, cr=,0.0299,  actvprof=,0.006815, best_B_id=,B01, best_B_prof=,0.006815, best_B_strat=, mBuy=,+0.000, mSel=,+0.226, b=,0.188, m=,0.030, ca=,0.0442, cr=,0.0299, 
t=,721564, id=,B01, ZIPSH,actvstrat=,mBuy=,-0.022, mSel=,+0.211, b=,0.209, m=,0.030, ca=,0.0434, cr=,0.0321,  actvprof=,0.008405, best_B_id=,B01, best_B_prof=,0.008405, best_B_strat=, mBuy=,-0.022, mSel=,+0.211, b=,0.209, m=,0.030, ca=,0.0434, cr=,0.0321, 
t=,752936, id=,B01, ZIPSH,actvstrat=,mBuy=,-0.022, mSel=,+0.211, b=,0.209, m=,0.030, ca=,0.0434, cr=,0.0321,  actvprof=,0.005633, best_B_id=,B01, best_B_prof=,0.005633, best_B_strat=, mBuy=,-0.022, mSel=,+0.211, b=,0.209, m=,0.030, ca=,0.0434, cr=,0.0321, 
t=,784308, id=,B01, ZIPSH,actvstrat=,mBuy=,-0.022, mSel=,+0.211, b=,0.209, m=,0.030, ca=,0.0434, cr=,0.0321,  actvprof=,0.008060, best_B_id=,B01, best_B_prof=,0.008060, best_B_strat=, mBuy=,-0.022, mSel=,+0.211, b=,0.209, m=,0.030, ca=,0.0434, cr=,0.0321, 
t=,815680, id=,B01, ZIPSH,actvstrat=,mBuy=,-0.024, mSel=,+0.189, b=,0.175, m=,0.035, ca=,0.0433, cr=,0.0330,  actvprof=,0.006198, best_B_id=,B01, best_B_prof=,0.006198, best_B_strat=, mBuy=,-0.024, mSel=,+0.189, b=,0.175, m=,0.035, ca=,0.0433, cr=,0.0330, 
t=,847053, id=,B01, ZIPSH,actvstrat=,mBuy=,-0.025, mSel=,+0.178, b=,0.153, m=,0.073, ca=,0.0466, cr=,0.0346,  actvprof=,0.008527, best_B_id=,B01, best_B_prof=,0.008527, best_B_strat=, mBuy=,-0.025, mSel=,+0.178, b=,0.153, m=,0.073, ca=,0.0466, cr=,0.0346, 
t=,878425, id=,B01, ZIPSH,actvstrat=,mBuy=,-0.025, mSel=,+0.165, b=,0.130, m=,0.092, ca=,0.0416, cr=,0.0395,  actvprof=,0.008298, best_B_id=,B01, best_B_prof=,0.008298, best_B_strat=, mBuy=,-0.025, mSel=,+0.165, b=,0.130, m=,0.092, ca=,0.0416, cr=,0.0395, 
t=,909797, id=,B01, ZIPSH,actvstrat=,mBuy=,-0.006, mSel=,+0.171, b=,0.126, m=,0.097, ca=,0.0432, cr=,0.0383,  actvprof=,0.007114, best_B_id=,B01, best_B_prof=,0.007114, best_B_strat=, mBuy=,-0.006, mSel=,+0.171, b=,0.126, m=,0.097, ca=,0.0432, cr=,0.0383, 
