t=,35461, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.050, mSel=,+0.050, b=,0.010, m=,0.009, ca=,0.0481, cr=,0.0442,  actvprof=,0.246496, best_B_id=,B04, best_B_prof=,0.246496, best_B_strat=, mBuy=,-0.050, mSel=,+0.050, b=,0.010, m=,0.009, ca=,0.0481, cr=,0.0442, 
t=,70923, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.034, mSel=,+0.015, b=,0.000, m=,0.000, ca=,0.0490, cr=,0.0439,  actvprof=,0.274178, best_B_id=,B04, best_B_prof=,0.274178, best_B_strat=, mBuy=,-0.034, mSel=,+0.015, b=,0.000, m=,0.000, ca=,0.0490, cr=,0.0439, 
t=,106384, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.051, mSel=,+0.000, b=,0.019, m=,0.015, ca=,0.0515, cr=,0.0441,  actvprof=,0.310602, best_B_id=,B04, best_B_prof=,0.310602, best_B_strat=, mBuy=,-0.051, mSel=,+0.000, b=,0.019, m=,0.015, ca=,0.0515, cr=,0.0441, 
t=,141845, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.015, mSel=,+0.004, b=,0.002, m=,0.000, ca=,0.0546, cr=,0.0456,  actvprof=,0.477059, best_B_id=,B04, best_B_prof=,0.477059, best_B_strat=, mBuy=,-0.015, mSel=,+0.004, b=,0.002, m=,0.000, ca=,0.0546, cr=,0.0456, 
t=,177306, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.015, mSel=,+0.004, b=,0.002, m=,0.000, ca=,0.0546, cr=,0.0456,  actvprof=,0.510929, best_B_id=,B04, best_B_prof=,0.510929, best_B_strat=, mBuy=,-0.015, mSel=,+0.004, b=,0.002, m=,0.000, ca=,0.0546, cr=,0.0456, 
t=,212766, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.008, mSel=,+0.010, b=,0.001, m=,0.031, ca=,0.0533, cr=,0.0526,  actvprof=,0.724036, best_B_id=,B04, best_B_prof=,0.724036, best_B_strat=, mBuy=,-0.008, mSel=,+0.010, b=,0.001, m=,0.031, ca=,0.0533, cr=,0.0526, 
t=,248227, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.008, mSel=,+0.010, b=,0.001, m=,0.031, ca=,0.0533, cr=,0.0526,  actvprof=,0.602024, best_B_id=,B04, best_B_prof=,0.602024, best_B_strat=, mBuy=,-0.008, mSel=,+0.010, b=,0.001, m=,0.031, ca=,0.0533, cr=,0.0526, 
t=,283687, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.008, mSel=,+0.010, b=,0.001, m=,0.031, ca=,0.0533, cr=,0.0526,  actvprof=,0.615363, best_B_id=,B04, best_B_prof=,0.615363, best_B_strat=, mBuy=,-0.008, mSel=,+0.010, b=,0.001, m=,0.031, ca=,0.0533, cr=,0.0526, 
t=,319150, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.008, mSel=,+0.010, b=,0.001, m=,0.031, ca=,0.0533, cr=,0.0526,  actvprof=,0.796815, best_B_id=,B04, best_B_prof=,0.796815, best_B_strat=, mBuy=,-0.008, mSel=,+0.010, b=,0.001, m=,0.031, ca=,0.0533, cr=,0.0526, 
t=,354611, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.016, mSel=,+0.005, b=,0.000, m=,0.015, ca=,0.0488, cr=,0.0489,  actvprof=,0.721145, best_B_id=,B04, best_B_prof=,0.721145, best_B_strat=, mBuy=,-0.016, mSel=,+0.005, b=,0.000, m=,0.015, ca=,0.0488, cr=,0.0489, 
t=,390072, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.016, mSel=,+0.005, b=,0.000, m=,0.015, ca=,0.0488, cr=,0.0489,  actvprof=,0.749205, best_B_id=,B04, best_B_prof=,0.749205, best_B_strat=, mBuy=,-0.016, mSel=,+0.005, b=,0.000, m=,0.015, ca=,0.0488, cr=,0.0489, 
t=,425532, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.008, mSel=,+0.000, b=,0.002, m=,0.044, ca=,0.0484, cr=,0.0494,  actvprof=,0.614855, best_B_id=,B04, best_B_prof=,0.614855, best_B_strat=, mBuy=,-0.008, mSel=,+0.000, b=,0.002, m=,0.044, ca=,0.0484, cr=,0.0494, 
t=,460993, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.008, mSel=,+0.000, b=,0.002, m=,0.044, ca=,0.0484, cr=,0.0494,  actvprof=,0.633643, best_B_id=,B04, best_B_prof=,0.633643, best_B_strat=, mBuy=,-0.008, mSel=,+0.000, b=,0.002, m=,0.044, ca=,0.0484, cr=,0.0494, 
