B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 3
B05, Trade, 72.200, 312, B05, S02, 1
B05, Trade, 121.625, 312, B05, S15, 1
B05, Trade, 481.450, 312, B05, S15, 1
B06, 9
B06, Trade, 64.450, 325, B06, S00, 1
B06, Trade, 120.400, 325, B06, S00, 1
B06, Trade, 180.425, 311, S11, B06, 1
B06, Trade, 240.150, 314, S11, B06, 1
B06, Trade, 302.325, 310, S17, B06, 1
B06, Trade, 360.425, 310, S05, B06, 1
B06, Trade, 420.750, 310, S14, B06, 1
B06, Trade, 481.150, 325, B06, S12, 1
B06, Trade, 541.275, 310, S14, B06, 1
B07, 9
B07, Trade, 63.475, 326, B07, S05, 1
B07, Trade, 137.925, 310, S05, B07, 1
B07, Trade, 183.075, 310, S05, B07, 1
B07, Trade, 241.150, 310, S14, B07, 1
B07, Trade, 303.300, 310, S04, B07, 1
B07, Trade, 361.125, 310, S10, B07, 1
B07, Trade, 422.475, 310, S08, B07, 1
B07, Trade, 480.550, 338, B07, S00, 1
B07, Trade, 541.225, 310, S03, B07, 1
B08, 9
B08, Trade, 70.875, 318, S03, B08, 1
B08, Trade, 138.250, 310, S01, B08, 1
B08, Trade, 185.300, 310, S00, B08, 1
B08, Trade, 244.200, 310, S03, B08, 1
B08, Trade, 301.575, 314, S03, B08, 1
B08, Trade, 381.875, 310, S13, B08, 1
B08, Trade, 421.350, 310, S10, B08, 1
B08, Trade, 482.250, 310, S05, B08, 1
B08, Trade, 540.700, 310, S17, B08, 1
B09, 5
B09, Trade, 62.325, 350, B09, S16, 1
B09, Trade, 121.550, 322, B09, S11, 1
B09, Trade, 180.650, 310, B09, S07, 1
B09, Trade, 300.725, 310, S15, B09, 1
B09, Trade, 480.925, 354, B09, S06, 1
B10, 9
B10, Trade, 61.775, 376, B10, S07, 1
B10, Trade, 120.300, 337, S19, B10, 1
B10, Trade, 180.200, 310, S01, B10, 1
B10, Trade, 241.625, 310, S05, B10, 1
B10, Trade, 300.350, 376, B10, S13, 1
B10, Trade, 361.575, 310, S14, B10, 1
B10, Trade, 420.700, 310, S05, B10, 1
B10, Trade, 481.925, 344, S17, B10, 1
B10, Trade, 540.975, 310, S02, B10, 1
B11, 9
B11, Trade, 60.375, 347, B11, S15, 1
B11, Trade, 124.425, 310, S02, B11, 1
B11, Trade, 183.350, 310, S10, B11, 1
B11, Trade, 245.850, 310, S15, B11, 1
B11, Trade, 301.275, 315, S11, B11, 1
B11, Trade, 362.175, 310, S12, B11, 1
B11, Trade, 421.625, 310, S11, B11, 1
B11, Trade, 491.625, 310, S02, B11, 1
B11, Trade, 547.900, 310, S10, B11, 1
B12, 9
B12, Trade, 61.200, 399, S10, B12, 1
B12, Trade, 120.200, 311, S14, B12, 1
B12, Trade, 180.725, 310, S13, B12, 1
B12, Trade, 241.000, 310, S17, B12, 1
B12, Trade, 300.775, 310, S14, B12, 1
B12, Trade, 363.500, 310, S02, B12, 1
B12, Trade, 421.475, 310, S15, B12, 1
B12, Trade, 480.425, 401, B12, S07, 1
B12, Trade, 541.075, 310, S04, B12, 1
B13, 9
B13, Trade, 61.325, 377, B13, S01, 1
B13, Trade, 136.825, 310, S07, B13, 1
B13, Trade, 181.425, 310, S02, B13, 1
B13, Trade, 240.425, 310, S04, B13, 1
B13, Trade, 304.925, 310, S07, B13, 1
B13, Trade, 362.425, 310, S15, B13, 1
B13, Trade, 422.125, 310, S12, B13, 1
B13, Trade, 492.050, 310, S04, B13, 1
B13, Trade, 541.775, 310, S12, B13, 1
B14, 9
B14, Trade, 62.800, 385, S17, B14, 1
B14, Trade, 120.875, 385, S03, B14, 1
B14, Trade, 180.350, 310, S15, B14, 1
B14, Trade, 240.950, 310, S08, B14, 1
B14, Trade, 301.225, 314, S16, B14, 1
B14, Trade, 360.500, 310, S08, B14, 1
B14, Trade, 423.700, 310, S03, B14, 1
B14, Trade, 480.800, 426, B14, S13, 1
B14, Trade, 543.275, 310, S08, B14, 1
B15, 4
B15, Trade, 60.100, 398, B15, S12, 1
B15, Trade, 120.250, 312, S16, B15, 1
B15, Trade, 302.200, 310, S05, B15, 1
B15, Trade, 481.275, 347, S08, B15, 1
B16, 9
B16, Trade, 60.500, 418, S14, B16, 1
B16, Trade, 125.675, 310, S10, B16, 1
B16, Trade, 183.750, 310, S08, B16, 1
B16, Trade, 241.500, 310, S02, B16, 1
B16, Trade, 302.150, 310, S08, B16, 1
B16, Trade, 361.100, 310, S17, B16, 1
B16, Trade, 425.625, 310, S02, B16, 1
B16, Trade, 490.100, 310, S14, B16, 1
B16, Trade, 540.525, 310, S05, B16, 1
B17, 9
B17, Trade, 60.050, 464, B17, S19, 1
B17, Trade, 120.150, 311, S08, B17, 1
B17, Trade, 180.925, 310, S16, B17, 1
B17, Trade, 243.200, 310, S07, B17, 1
B17, Trade, 300.275, 443, S01, B17, 1
B17, Trade, 360.575, 310, S00, B17, 1
B17, Trade, 421.575, 310, S13, B17, 1
B17, Trade, 480.600, 347, S16, B17, 1
B17, Trade, 540.900, 310, S07, B17, 1
B18, 4
B18, Trade, 60.750, 399, S08, B18, 1
B18, Trade, 121.000, 319, B18, S12, 1
B18, Trade, 301.125, 313, S02, B18, 1
B18, Trade, 484.350, 310, S10, B18, 1
B19, 9
B19, Trade, 62.175, 380, B19, S13, 1
B19, Trade, 122.325, 310, S17, B19, 1
B19, Trade, 185.925, 310, S12, B19, 1
B19, Trade, 245.650, 310, S13, B19, 1
B19, Trade, 311.875, 310, S00, B19, 1
B19, Trade, 366.725, 310, S03, B19, 1
B19, Trade, 430.900, 310, S00, B19, 1
B19, Trade, 482.550, 312, S03, B19, 1
