B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 5
B05, Trade, 334.525, 310, S17, B05, 1
B05, Trade, 411.925, 310, S11, B05, 1
B05, Trade, 424.850, 310, S06, B05, 1
B05, Trade, 509.450, 310, S03, B05, 1
B05, Trade, 579.075, 310, S14, B05, 1
B06, 3
B06, Trade, 122.250, 310, S14, B06, 1
B06, Trade, 186.575, 310, S11, B06, 1
B06, Trade, 248.250, 310, S19, B06, 1
B07, 9
B07, Trade, 60.350, 310, S05, B07, 1
B07, Trade, 120.250, 310, S00, B07, 1
B07, Trade, 180.550, 338, B07, S03, 1
B07, Trade, 240.225, 338, B07, S14, 1
B07, Trade, 300.175, 310, S00, B07, 1
B07, Trade, 362.175, 310, S06, B07, 1
B07, Trade, 420.725, 310, S03, B07, 1
B07, Trade, 480.400, 310, S05, B07, 1
B07, Trade, 540.425, 310, S05, B07, 1
B08, 9
B08, Trade, 60.825, 310, S13, B08, 1
B08, Trade, 120.275, 310, S18, B08, 1
B08, Trade, 180.800, 351, B08, S10, 1
B08, Trade, 242.825, 310, S11, B08, 1
B08, Trade, 300.775, 310, S03, B08, 1
B08, Trade, 360.400, 310, S16, B08, 1
B08, Trade, 421.900, 310, S10, B08, 1
B08, Trade, 480.925, 312, S14, B08, 1
B08, Trade, 540.650, 310, S16, B08, 1
B09, 9
B09, Trade, 62.200, 310, S18, B09, 1
B09, Trade, 147.875, 310, S17, B09, 1
B09, Trade, 184.025, 310, S18, B09, 1
B09, Trade, 261.975, 310, S16, B09, 1
B09, Trade, 305.600, 310, S06, B09, 1
B09, Trade, 388.575, 310, S08, B09, 1
B09, Trade, 425.000, 310, S11, B09, 1
B09, Trade, 487.400, 310, S16, B09, 1
B09, Trade, 542.800, 310, S00, B09, 1
B10, 9
B10, Trade, 69.975, 310, S11, B10, 1
B10, Trade, 121.900, 310, S06, B10, 1
B10, Trade, 182.650, 310, S19, B10, 1
B10, Trade, 240.325, 318, B10, S05, 1
B10, Trade, 301.925, 310, S05, B10, 1
B10, Trade, 361.250, 310, S00, B10, 1
B10, Trade, 425.050, 310, S18, B10, 1
B10, Trade, 482.150, 310, S18, B10, 1
B10, Trade, 540.950, 310, B10, S17, 1
B11, 1
B11, Trade, 181.825, 349, B11, S00, 1
B12, 9
B12, Trade, 65.050, 310, S03, B12, 1
B12, Trade, 124.700, 310, S05, B12, 1
B12, Trade, 181.025, 396, B12, S04, 1
B12, Trade, 240.925, 310, S10, B12, 1
B12, Trade, 301.575, 310, S19, B12, 1
B12, Trade, 365.600, 310, S14, B12, 1
B12, Trade, 421.300, 310, S13, B12, 1
B12, Trade, 481.525, 310, S19, B12, 1
B12, Trade, 544.250, 310, S03, B12, 1
B13, 9
B13, Trade, 60.075, 310, S06, B13, 1
B13, Trade, 120.975, 310, S11, B13, 1
B13, Trade, 180.175, 414, B13, S06, 1
B13, Trade, 241.700, 310, S18, B13, 1
B13, Trade, 301.050, 310, S18, B13, 1
B13, Trade, 360.575, 310, S05, B13, 1
B13, Trade, 424.275, 310, S19, B13, 1
B13, Trade, 481.750, 310, S13, B13, 1
B13, Trade, 540.575, 310, S06, B13, 1
B14, 9
B14, Trade, 71.100, 310, S14, B14, 1
B14, Trade, 122.825, 310, S10, B14, 1
B14, Trade, 190.500, 310, S05, B14, 1
B14, Trade, 247.675, 310, S06, B14, 1
B14, Trade, 303.675, 310, S10, B14, 1
B14, Trade, 360.675, 310, S19, B14, 1
B14, Trade, 421.100, 310, S17, B14, 1
B14, Trade, 480.800, 310, B14, S06, 1
B14, Trade, 542.325, 310, S18, B14, 1
B15, 5
B15, Trade, 61.450, 310, S10, B15, 1
B15, Trade, 181.425, 395, B15, S08, 1
B15, Trade, 248.100, 310, S00, B15, 1
B15, Trade, 480.875, 310, S10, B15, 1
B15, Trade, 541.175, 310, S13, B15, 1
B16, 9
B16, Trade, 60.800, 310, S00, B16, 1
B16, Trade, 126.400, 310, S08, B16, 1
B16, Trade, 180.675, 364, S16, B16, 1
B16, Trade, 244.500, 310, S17, B16, 1
B16, Trade, 303.750, 310, S11, B16, 1
B16, Trade, 361.325, 310, S10, B16, 1
B16, Trade, 424.950, 310, S00, B16, 1
B16, Trade, 488.425, 310, S08, B16, 1
B16, Trade, 540.825, 310, S10, B16, 1
B17, 9
B17, Trade, 73.050, 310, S08, B17, 1
B17, Trade, 121.325, 310, B17, S13, 1
B17, Trade, 185.425, 310, S13, B17, 1
B17, Trade, 247.875, 310, S08, B17, 1
B17, Trade, 303.625, 310, S16, B17, 1
B17, Trade, 362.300, 310, S09, B17, 1
B17, Trade, 421.650, 310, S05, B17, 1
B17, Trade, 483.675, 310, S11, B17, 1
B17, Trade, 541.325, 310, S19, B17, 1
B18, 3
B18, Trade, 60.925, 310, S17, B18, 1
B18, Trade, 120.500, 310, S16, B18, 1
B18, Trade, 183.175, 310, S17, B18, 1
B19, 9
B19, Trade, 60.875, 310, S19, B19, 1
B19, Trade, 121.100, 310, S19, B19, 1
B19, Trade, 180.300, 490, B19, S01, 1
B19, Trade, 241.800, 310, S03, B19, 1
B19, Trade, 301.275, 310, S08, B19, 1
B19, Trade, 360.750, 310, S13, B19, 1
B19, Trade, 420.300, 311, S08, B19, 1
B19, Trade, 482.400, 310, S09, B19, 1
B19, Trade, 541.500, 310, S08, B19, 1
S00, 8
S00, Trade, 60.800, 310, S00, B16, 1
S00, Trade, 120.250, 310, S00, B07, 1
S00, Trade, 181.825, 349, B11, S00, 1
S00, Trade, 248.100, 310, S00, B15, 1
S00, Trade, 300.175, 310, S00, B07, 1
S00, Trade, 361.250, 310, S00, B10, 1
S00, Trade, 424.950, 310, S00, B16, 1
S00, Trade, 542.800, 310, S00, B09, 1
S01, 1
S01, Trade, 180.300, 490, B19, S01, 1
S02, 0
S03, 7
S03, Trade, 65.050, 310, S03, B12, 1
S03, Trade, 180.550, 338, B07, S03, 1
S03, Trade, 241.800, 310, S03, B19, 1
S03, Trade, 300.775, 310, S03, B08, 1
S03, Trade, 420.725, 310, S03, B07, 1
S03, Trade, 509.450, 310, S03, B05, 1
S03, Trade, 544.250, 310, S03, B12, 1
S04, 1
S04, Trade, 181.025, 396, B12, S04, 1
S05, 9
S05, Trade, 60.350, 310, S05, B07, 1
S05, Trade, 124.700, 310, S05, B12, 1
S05, Trade, 190.500, 310, S05, B14, 1
S05, Trade, 240.325, 318, B10, S05, 1
S05, Trade, 301.925, 310, S05, B10, 1
S05, Trade, 360.575, 310, S05, B13, 1
S05, Trade, 421.650, 310, S05, B17, 1
S05, Trade, 480.400, 310, S05, B07, 1
S05, Trade, 540.425, 310, S05, B07, 1
S06, 9
S06, Trade, 60.075, 310, S06, B13, 1
S06, Trade, 121.900, 310, S06, B10, 1
S06, Trade, 180.175, 414, B13, S06, 1
S06, Trade, 247.675, 310, S06, B14, 1
S06, Trade, 305.600, 310, S06, B09, 1
S06, Trade, 362.175, 310, S06, B07, 1
S06, Trade, 424.850, 310, S06, B05, 1
S06, Trade, 480.800, 310, B14, S06, 1
S06, Trade, 540.575, 310, S06, B13, 1
S07, 0
S08, 9
S08, Trade, 73.050, 310, S08, B17, 1
S08, Trade, 126.400, 310, S08, B16, 1
S08, Trade, 181.425, 395, B15, S08, 1
S08, Trade, 247.875, 310, S08, B17, 1
S08, Trade, 301.275, 310, S08, B19, 1
S08, Trade, 388.575, 310, S08, B09, 1
S08, Trade, 420.300, 311, S08, B19, 1
S08, Trade, 488.425, 310, S08, B16, 1
S08, Trade, 541.500, 310, S08, B19, 1
S09, 2
S09, Trade, 362.300, 310, S09, B17, 1
S09, Trade, 482.400, 310, S09, B19, 1
S10, 9
S10, Trade, 61.450, 310, S10, B15, 1
S10, Trade, 122.825, 310, S10, B14, 1
S10, Trade, 180.800, 351, B08, S10, 1
S10, Trade, 240.925, 310, S10, B12, 1
S10, Trade, 303.675, 310, S10, B14, 1
S10, Trade, 361.325, 310, S10, B16, 1
S10, Trade, 421.900, 310, S10, B08, 1
S10, Trade, 480.875, 310, S10, B15, 1
S10, Trade, 540.825, 310, S10, B16, 1
S11, 8
S11, Trade, 69.975, 310, S11, B10, 1
S11, Trade, 120.975, 310, S11, B13, 1
S11, Trade, 186.575, 310, S11, B06, 1
S11, Trade, 242.825, 310, S11, B08, 1
S11, Trade, 303.750, 310, S11, B16, 1
S11, Trade, 411.925, 310, S11, B05, 1
S11, Trade, 425.000, 310, S11, B09, 1
S11, Trade, 483.675, 310, S11, B17, 1
S12, 0
S13, 7
S13, Trade, 60.825, 310, S13, B08, 1
S13, Trade, 121.325, 310, B17, S13, 1
S13, Trade, 185.425, 310, S13, B17, 1
S13, Trade, 360.750, 310, S13, B19, 1
S13, Trade, 421.300, 310, S13, B12, 1
S13, Trade, 481.750, 310, S13, B13, 1
S13, Trade, 541.175, 310, S13, B15, 1
S14, 6
S14, Trade, 71.100, 310, S14, B14, 1
S14, Trade, 122.250, 310, S14, B06, 1
S14, Trade, 240.225, 338, B07, S14, 1
S14, Trade, 365.600, 310, S14, B12, 1
S14, Trade, 480.925, 312, S14, B08, 1
S14, Trade, 579.075, 310, S14, B05, 1
S15, 0
S16, 7
S16, Trade, 120.500, 310, S16, B18, 1
S16, Trade, 180.675, 364, S16, B16, 1
S16, Trade, 261.975, 310, S16, B09, 1
S16, Trade, 303.625, 310, S16, B17, 1
S16, Trade, 360.400, 310, S16, B08, 1
S16, Trade, 487.400, 310, S16, B09, 1
S16, Trade, 540.650, 310, S16, B08, 1
S17, 7
S17, Trade, 60.925, 310, S17, B18, 1
S17, Trade, 147.875, 310, S17, B09, 1
S17, Trade, 183.175, 310, S17, B18, 1
S17, Trade, 244.500, 310, S17, B16, 1
