B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 6
B05, Trade, 148.275, 313, B05, S19, 1
B05, Trade, 180.500, 313, B05, S07, 1
B05, Trade, 240.675, 310, S02, B05, 1
B05, Trade, 302.800, 310, S12, B05, 1
B05, Trade, 480.800, 313, B05, S01, 1
B05, Trade, 540.500, 313, B05, S15, 1
B06, 7
B06, Trade, 133.775, 325, B06, S09, 1
B06, Trade, 184.825, 310, S13, B06, 1
B06, Trade, 241.275, 310, S03, B06, 1
B06, Trade, 307.000, 310, S07, B06, 1
B06, Trade, 423.000, 325, B06, S19, 1
B06, Trade, 482.225, 310, S06, B06, 1
B06, Trade, 546.950, 310, S03, B06, 1
B07, 9
B07, Trade, 60.625, 310, S02, B07, 1
B07, Trade, 120.725, 337, S16, B07, 1
B07, Trade, 181.225, 311, S12, B07, 1
B07, Trade, 240.550, 310, S08, B07, 1
B07, Trade, 300.200, 338, B07, S15, 1
B07, Trade, 360.275, 338, B07, S10, 1
B07, Trade, 420.775, 338, B07, S07, 1
B07, Trade, 480.925, 313, S12, B07, 1
B07, Trade, 542.450, 310, S12, B07, 1
B08, 4
B08, Trade, 60.200, 310, S07, B08, 1
B08, Trade, 122.275, 331, S01, B08, 1
B08, Trade, 421.300, 334, B08, S09, 1
B08, Trade, 481.500, 310, S16, B08, 1
B09, 9
B09, Trade, 63.375, 338, B09, S12, 1
B09, Trade, 121.375, 335, B09, S17, 1
B09, Trade, 188.825, 310, S18, B09, 1
B09, Trade, 242.825, 310, S05, B09, 1
B09, Trade, 304.725, 310, S16, B09, 1
B09, Trade, 361.700, 339, B09, S02, 1
B09, Trade, 420.600, 339, B09, S16, 1
B09, Trade, 483.675, 310, S04, B09, 1
B09, Trade, 546.525, 310, S07, B09, 1
B10, 9
B10, Trade, 63.800, 339, S15, B10, 1
B10, Trade, 124.750, 330, S06, B10, 1
B10, Trade, 184.500, 310, S16, B10, 1
B10, Trade, 260.725, 310, S04, B10, 1
B10, Trade, 317.725, 310, S00, B10, 1
B10, Trade, 360.375, 340, B10, S13, 1
B10, Trade, 427.775, 318, B10, S12, 1
B10, Trade, 481.575, 310, S08, B10, 1
B10, Trade, 563.300, 310, S11, B10, 1
B11, 3
B11, Trade, 123.550, 330, S14, B11, 1
B11, Trade, 183.200, 310, S00, B11, 1
B11, Trade, 361.000, 331, B11, S18, 1
B12, 4
B12, Trade, 60.725, 310, S16, B12, 1
B12, Trade, 121.675, 339, S10, B12, 1
B12, Trade, 362.150, 338, B12, S19, 1
B12, Trade, 431.900, 314, B12, S14, 1
B13, 4
B13, Trade, 63.750, 339, S09, B13, 1
B13, Trade, 121.625, 338, S11, B13, 1
B13, Trade, 361.925, 339, B13, S12, 1
B13, Trade, 427.850, 315, S00, B13, 1
B14, 4
B14, Trade, 61.750, 338, B14, S08, 1
B14, Trade, 122.500, 330, B14, S00, 1
B14, Trade, 180.850, 315, S03, B14, 1
B14, Trade, 360.625, 340, B14, S04, 1
B15, 4
B15, Trade, 122.075, 335, S15, B15, 1
B15, Trade, 180.250, 322, B15, S02, 1
B15, Trade, 361.200, 338, B15, S07, 1
B15, Trade, 420.300, 336, B15, S02, 1
B16, 3
B16, Trade, 61.100, 334, S03, B16, 1
B16, Trade, 121.575, 335, S12, B16, 1
B16, Trade, 361.325, 339, B16, S03, 1
B17, 3
B17, Trade, 61.450, 350, S04, B17, 1
B17, Trade, 124.050, 329, B17, S05, 1
B17, Trade, 361.650, 340, S16, B17, 1
B18, 7
B18, Trade, 60.825, 320, S01, B18, 1
B18, Trade, 121.525, 334, B18, S02, 1
B18, Trade, 304.825, 310, S02, B18, 1
B18, Trade, 376.225, 338, B18, S09, 1
B18, Trade, 432.350, 314, S17, B18, 1
B18, Trade, 480.500, 310, S07, B18, 1
B18, Trade, 547.875, 310, S02, B18, 1
B19, 5
B19, Trade, 74.000, 336, B19, S19, 1
B19, Trade, 120.700, 334, B19, S07, 1
B19, Trade, 360.525, 352, B19, S14, 1
B19, Trade, 428.450, 313, B19, S15, 1
B19, Trade, 547.200, 310, S16, B19, 1
S00, 4
S00, Trade, 122.500, 330, B14, S00, 1
S00, Trade, 183.200, 310, S00, B11, 1
S00, Trade, 317.725, 310, S00, B10, 1
S00, Trade, 427.850, 315, S00, B13, 1
S01, 3
S01, Trade, 60.825, 320, S01, B18, 1
S01, Trade, 122.275, 331, S01, B08, 1
