B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 9
B05, Trade, 61.050, 310, S17, B05, 1
B05, Trade, 120.350, 313, B05, S01, 1
B05, Trade, 180.150, 310, S08, B05, 1
B05, Trade, 241.525, 310, S05, B05, 1
B05, Trade, 300.525, 310, S12, B05, 1
B05, Trade, 360.350, 310, S08, B05, 1
B05, Trade, 420.450, 310, S11, B05, 1
B05, Trade, 480.575, 310, S04, B05, 1
B05, Trade, 540.650, 310, S15, B05, 1
B06, 9
B06, Trade, 60.200, 310, S06, B06, 1
B06, Trade, 120.825, 310, S08, B06, 1
B06, Trade, 182.200, 310, S09, B06, 1
B06, Trade, 241.350, 310, S08, B06, 1
B06, Trade, 301.625, 310, S05, B06, 1
B06, Trade, 360.700, 310, S12, B06, 1
B06, Trade, 421.875, 310, S12, B06, 1
B06, Trade, 482.300, 310, S19, B06, 1
B06, Trade, 541.150, 310, S06, B06, 1
B07, 1
B07, Trade, 301.350, 310, S02, B07, 1
B08, 9
B08, Trade, 64.650, 310, S12, B08, 1
B08, Trade, 121.900, 310, S09, B08, 1
B08, Trade, 182.475, 310, S06, B08, 1
B08, Trade, 245.950, 310, S02, B08, 1
B08, Trade, 302.075, 310, B08, S07, 1
B08, Trade, 361.325, 310, S13, B08, 1
B08, Trade, 421.750, 310, S09, B08, 1
B08, Trade, 486.150, 310, S00, B08, 1
B08, Trade, 541.475, 310, S17, B08, 1
B09, 9
B09, Trade, 65.175, 310, S18, B09, 1
B09, Trade, 123.950, 310, S16, B09, 1
B09, Trade, 184.100, 310, S07, B09, 1
B09, Trade, 247.000, 310, S13, B09, 1
B09, Trade, 301.725, 310, S19, B09, 1
B09, Trade, 363.575, 310, S05, B09, 1
B09, Trade, 421.000, 310, S13, B09, 1
B09, Trade, 483.000, 310, S15, B09, 1
B09, Trade, 541.450, 310, S00, B09, 1
B10, 9
B10, Trade, 60.325, 310, S08, B10, 1
B10, Trade, 120.325, 376, B10, S19, 1
B10, Trade, 182.925, 310, S13, B10, 1
B10, Trade, 241.825, 310, S11, B10, 1
B10, Trade, 300.200, 310, S00, B10, 1
B10, Trade, 361.600, 310, S03, B10, 1
B10, Trade, 420.800, 310, S06, B10, 1
B10, Trade, 482.250, 310, S06, B10, 1
B10, Trade, 541.675, 310, S08, B10, 1
B11, 9
B11, Trade, 63.925, 310, S13, B11, 1
B11, Trade, 130.050, 310, S05, B11, 1
B11, Trade, 180.875, 334, B11, S15, 1
B11, Trade, 242.650, 310, S19, B11, 1
B11, Trade, 300.875, 310, S13, B11, 1
B11, Trade, 370.500, 310, S15, B11, 1
B11, Trade, 432.225, 310, S08, B11, 1
B11, Trade, 485.600, 310, S02, B11, 1
B11, Trade, 543.850, 310, S16, B11, 1
B12, 9
B12, Trade, 60.275, 310, S11, B12, 1
B12, Trade, 120.800, 310, S06, B12, 1
B12, Trade, 180.500, 310, S11, B12, 1
B12, Trade, 240.475, 310, S17, B12, 1
B12, Trade, 301.450, 310, S15, B12, 1
B12, Trade, 360.475, 310, S07, B12, 1
B12, Trade, 420.475, 310, S19, B12, 1
B12, Trade, 480.525, 310, S08, B12, 1
B12, Trade, 540.925, 310, S01, B12, 1
B13, 9
B13, Trade, 60.375, 310, S04, B13, 1
