B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 2
B05, Trade, 131.950, 310, B05, S00, 1
B05, Trade, 541.950, 312, B05, S15, 1
B06, 9
B06, Trade, 61.800, 312, B06, S19, 1
B06, Trade, 143.400, 311, S04, B06, 1
B06, Trade, 187.500, 310, S17, B06, 1
B06, Trade, 247.625, 313, S11, B06, 1
B06, Trade, 335.300, 310, S12, B06, 1
B06, Trade, 362.825, 310, S17, B06, 1
B06, Trade, 442.125, 310, S11, B06, 1
B06, Trade, 481.125, 310, S07, B06, 1
B06, Trade, 558.250, 310, S04, B06, 1
B07, 9
B07, Trade, 66.850, 311, S11, B07, 1
B07, Trade, 164.475, 313, S14, B07, 1
B07, Trade, 182.500, 310, S08, B07, 1
B07, Trade, 251.575, 314, S14, B07, 1
B07, Trade, 309.725, 310, S18, B07, 1
B07, Trade, 371.600, 310, S19, B07, 1
B07, Trade, 420.700, 310, S02, B07, 1
B07, Trade, 483.875, 310, S02, B07, 1
B07, Trade, 552.275, 310, S12, B07, 1
B08, 9
B08, Trade, 60.450, 310, S15, B08, 1
B08, Trade, 122.750, 310, S07, B08, 1
B08, Trade, 180.100, 351, B08, S09, 1
B08, Trade, 240.250, 310, S17, B08, 1
B08, Trade, 301.725, 314, S14, B08, 1
B08, Trade, 363.475, 310, S18, B08, 1
B08, Trade, 422.225, 310, S07, B08, 1
B08, Trade, 480.400, 310, S17, B08, 1
B08, Trade, 542.150, 319, S14, B08, 1
B09, 9
B09, Trade, 63.050, 311, S09, B09, 1
B09, Trade, 120.225, 310, S18, B09, 1
B09, Trade, 198.925, 310, S01, B09, 1
B09, Trade, 244.475, 311, S04, B09, 1
B09, Trade, 308.100, 310, S16, B09, 1
B09, Trade, 362.000, 311, S11, B09, 1
B09, Trade, 422.625, 310, S12, B09, 1
B09, Trade, 487.475, 310, S19, B09, 1
B09, Trade, 553.300, 310, S08, B09, 1
B10, 9
B10, Trade, 61.375, 310, S07, B10, 1
B10, Trade, 120.925, 310, S17, B10, 1
B10, Trade, 180.600, 310, S18, B10, 1
B10, Trade, 241.200, 310, S16, B10, 1
B10, Trade, 300.500, 310, S15, B10, 1
B10, Trade, 361.725, 310, S08, B10, 1
B10, Trade, 423.325, 310, S15, B10, 1
B10, Trade, 481.200, 311, S04, B10, 1
B10, Trade, 540.450, 310, S02, B10, 1
B11, 9
B11, Trade, 76.950, 313, S04, B11, 1
B11, Trade, 122.525, 310, S15, B11, 1
B11, Trade, 188.475, 310, S15, B11, 1
B11, Trade, 241.500, 310, S15, B11, 1
B11, Trade, 300.575, 310, S02, B11, 1
B11, Trade, 360.525, 310, S07, B11, 1
B11, Trade, 421.575, 310, S08, B11, 1
B11, Trade, 481.725, 310, B11, S12, 1
B11, Trade, 542.525, 313, B11, S18, 1
B12, 9
B12, Trade, 60.150, 310, S17, B12, 1
B12, Trade, 120.400, 310, S02, B12, 1
B12, Trade, 180.450, 310, S16, B12, 1
B12, Trade, 241.025, 310, S18, B12, 1
B12, Trade, 300.825, 310, S08, B12, 1
B12, Trade, 360.750, 310, S16, B12, 1
B12, Trade, 420.350, 314, S14, B12, 1
B12, Trade, 480.550, 312, S09, B12, 1
B12, Trade, 541.675, 320, S13, B12, 1
B13, 2
B13, Trade, 61.425, 310, S16, B13, 1
B13, Trade, 241.775, 310, S02, B13, 1
B14, 9
B14, Trade, 66.450, 311, S14, B14, 1
B14, Trade, 120.550, 310, S16, B14, 1
B14, Trade, 181.400, 310, S12, B14, 1
B14, Trade, 240.325, 330, S07, B14, 1
B14, Trade, 301.500, 310, S17, B14, 1
B14, Trade, 361.750, 310, S15, B14, 1
B14, Trade, 428.600, 310, S19, B14, 1
B14, Trade, 485.350, 310, S18, B14, 1
B14, Trade, 545.150, 310, S19, B14, 1
B15, 9
B15, Trade, 62.750, 310, S12, B15, 1
B15, Trade, 121.875, 310, S01, B15, 1
B15, Trade, 180.650, 310, S07, B15, 1
B15, Trade, 241.150, 310, S08, B15, 1
B15, Trade, 301.575, 313, S01, B15, 1
B15, Trade, 361.775, 310, S02, B15, 1
B15, Trade, 420.325, 310, S17, B15, 1
B15, Trade, 480.875, 310, S15, B15, 1
B15, Trade, 540.525, 383, S10, B15, 1
B16, 9
B16, Trade, 74.800, 312, S01, B16, 1
B16, Trade, 124.675, 310, S12, B16, 1
B16, Trade, 190.675, 310, S02, B16, 1
B16, Trade, 242.700, 310, S12, B16, 1
B16, Trade, 301.325, 310, S07, B16, 1
B16, Trade, 360.900, 310, S12, B16, 1
B16, Trade, 420.900, 310, S18, B16, 1
B16, Trade, 482.850, 310, S16, B16, 1
B16, Trade, 541.100, 311, B16, S16, 1
B17, 4
B17, Trade, 60.975, 310, S08, B17, 1
B17, Trade, 190.850, 311, S14, B17, 1
B17, Trade, 253.425, 310, B17, S01, 1
B17, Trade, 541.650, 313, B17, S17, 1
B18, 3
B18, Trade, 61.525, 310, S02, B18, 1
B18, Trade, 243.300, 310, S19, B18, 1
B18, Trade, 543.050, 310, S07, B18, 1
B19, 3
B19, Trade, 62.600, 310, S18, B19, 1
B19, Trade, 120.325, 310, S08, B19, 1
B19, Trade, 264.275, 310, B19, S05, 1
S00, 1
S00, Trade, 131.950, 310, B05, S00, 1
S01, 5
S01, Trade, 74.800, 312, S01, B16, 1
S01, Trade, 121.875, 310, S01, B15, 1
S01, Trade, 198.925, 310, S01, B09, 1
S01, Trade, 253.425, 310, B17, S01, 1
S01, Trade, 301.575, 313, S01, B15, 1
S02, 9
S02, Trade, 61.525, 310, S02, B18, 1
S02, Trade, 120.400, 310, S02, B12, 1
S02, Trade, 190.675, 310, S02, B16, 1
S02, Trade, 241.775, 310, S02, B13, 1
S02, Trade, 300.575, 310, S02, B11, 1
S02, Trade, 361.775, 310, S02, B15, 1
S02, Trade, 420.700, 310, S02, B07, 1
S02, Trade, 483.875, 310, S02, B07, 1
S02, Trade, 540.450, 310, S02, B10, 1
S03, 0
S04, 5
S04, Trade, 76.950, 313, S04, B11, 1
S04, Trade, 143.400, 311, S04, B06, 1
S04, Trade, 244.475, 311, S04, B09, 1
S04, Trade, 481.200, 311, S04, B10, 1
S04, Trade, 558.250, 310, S04, B06, 1
S05, 1
S05, Trade, 264.275, 310, B19, S05, 1
S06, 0
S07, 9
S07, Trade, 61.375, 310, S07, B10, 1
S07, Trade, 122.750, 310, S07, B08, 1
S07, Trade, 180.650, 310, S07, B15, 1
S07, Trade, 240.325, 330, S07, B14, 1
S07, Trade, 301.325, 310, S07, B16, 1
S07, Trade, 360.525, 310, S07, B11, 1
S07, Trade, 422.225, 310, S07, B08, 1
S07, Trade, 481.125, 310, S07, B06, 1
S07, Trade, 543.050, 310, S07, B18, 1
S08, 8
S08, Trade, 60.975, 310, S08, B17, 1
S08, Trade, 120.325, 310, S08, B19, 1
S08, Trade, 182.500, 310, S08, B07, 1
S08, Trade, 241.150, 310, S08, B15, 1
S08, Trade, 300.825, 310, S08, B12, 1
S08, Trade, 361.725, 310, S08, B10, 1
S08, Trade, 421.575, 310, S08, B11, 1
S08, Trade, 553.300, 310, S08, B09, 1
S09, 3
S09, Trade, 63.050, 311, S09, B09, 1
S09, Trade, 180.100, 351, B08, S09, 1
S09, Trade, 480.550, 312, S09, B12, 1
S10, 1
S10, Trade, 540.525, 383, S10, B15, 1
S11, 4
S11, Trade, 66.850, 311, S11, B07, 1
S11, Trade, 247.625, 313, S11, B06, 1
S11, Trade, 362.000, 311, S11, B09, 1
S11, Trade, 442.125, 310, S11, B06, 1
S12, 9
S12, Trade, 62.750, 310, S12, B15, 1
S12, Trade, 124.675, 310, S12, B16, 1
S12, Trade, 181.400, 310, S12, B14, 1
S12, Trade, 242.700, 310, S12, B16, 1
S12, Trade, 335.300, 310, S12, B06, 1
S12, Trade, 360.900, 310, S12, B16, 1
S12, Trade, 422.625, 310, S12, B09, 1
S12, Trade, 481.725, 310, B11, S12, 1
S12, Trade, 552.275, 310, S12, B07, 1
S13, 1
S13, Trade, 541.675, 320, S13, B12, 1
S14, 7
S14, Trade, 66.450, 311, S14, B14, 1
S14, Trade, 164.475, 313, S14, B07, 1
S14, Trade, 190.850, 311, S14, B17, 1
S14, Trade, 251.575, 314, S14, B07, 1
S14, Trade, 301.725, 314, S14, B08, 1
S14, Trade, 420.350, 314, S14, B12, 1
S14, Trade, 542.150, 319, S14, B08, 1
S15, 9
S15, Trade, 60.450, 310, S15, B08, 1
S15, Trade, 122.525, 310, S15, B11, 1
S15, Trade, 188.475, 310, S15, B11, 1
S15, Trade, 241.500, 310, S15, B11, 1
S15, Trade, 300.500, 310, S15, B10, 1
S15, Trade, 361.750, 310, S15, B14, 1
S15, Trade, 423.325, 310, S15, B10, 1
S15, Trade, 480.875, 310, S15, B15, 1
S15, Trade, 541.950, 312, B05, S15, 1
S16, 8
S16, Trade, 61.425, 310, S16, B13, 1
S16, Trade, 120.550, 310, S16, B14, 1
S16, Trade, 180.450, 310, S16, B12, 1
S16, Trade, 241.200, 310, S16, B10, 1
S16, Trade, 308.100, 310, S16, B09, 1
S16, Trade, 360.750, 310, S16, B12, 1
S16, Trade, 482.850, 310, S16, B16, 1
S16, Trade, 541.100, 311, B16, S16, 1
S17, 9
S17, Trade, 60.150, 310, S17, B12, 1
S17, Trade, 120.925, 310, S17, B10, 1
S17, Trade, 187.500, 310, S17, B06, 1
S17, Trade, 240.250, 310, S17, B08, 1
S17, Trade, 301.500, 310, S17, B14, 1
S17, Trade, 362.825, 310, S17, B06, 1
S17, Trade, 420.325, 310, S17, B15, 1
S17, Trade, 480.400, 310, S17, B08, 1
S17, Trade, 541.650, 313, B17, S17, 1
S18, 9
S18, Trade, 62.600, 310, S18, B19, 1
S18, Trade, 120.225, 310, S18, B09, 1
S18, Trade, 180.600, 310, S18, B10, 1
S18, Trade, 241.025, 310, S18, B12, 1
S18, Trade, 309.725, 310, S18, B07, 1
S18, Trade, 363.475, 310, S18, B08, 1
S18, Trade, 420.900, 310, S18, B16, 1
S18, Trade, 485.350, 310, S18, B14, 1
S18, Trade, 542.525, 313, B11, S18, 1
S19, 6
S19, Trade, 61.800, 312, B06, S19, 1
S19, Trade, 243.300, 310, S19, B18, 1
S19, Trade, 371.600, 310, S19, B07, 1
S19, Trade, 428.600, 310, S19, B14, 1
S19, Trade, 487.475, 310, S19, B09, 1
S19, Trade, 545.150, 310, S19, B14, 1
