B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 2
B05, Trade, 481.925, 310, S04, B05, 1
B05, Trade, 544.250, 310, S09, B05, 1
B06, 2
B06, Trade, 121.950, 310, S06, B06, 1
B06, Trade, 543.525, 310, S15, B06, 1
B07, 9
B07, Trade, 62.650, 310, S09, B07, 1
B07, Trade, 122.800, 310, S13, B07, 1
B07, Trade, 181.300, 310, S12, B07, 1
B07, Trade, 243.150, 310, S09, B07, 1
B07, Trade, 302.000, 310, S03, B07, 1
B07, Trade, 363.500, 310, S04, B07, 1
B07, Trade, 420.925, 310, S15, B07, 1
B07, Trade, 482.600, 310, S15, B07, 1
B07, Trade, 541.600, 310, S18, B07, 1
B08, 3
B08, Trade, 361.375, 310, S12, B08, 1
B08, Trade, 420.525, 310, S13, B08, 1
B08, Trade, 541.175, 310, S05, B08, 1
B09, 9
B09, Trade, 60.550, 310, S08, B09, 1
B09, Trade, 122.750, 310, S08, B09, 1
B09, Trade, 181.725, 310, S17, B09, 1
B09, Trade, 240.150, 363, B09, S02, 1
B09, Trade, 300.600, 310, S14, B09, 1
B09, Trade, 363.125, 310, S00, B09, 1
B09, Trade, 421.350, 310, S02, B09, 1
B09, Trade, 480.825, 310, S16, B09, 1
B09, Trade, 540.475, 310, S03, B09, 1
B10, 1
B10, Trade, 420.575, 310, S12, B10, 1
B11, 9
B11, Trade, 68.900, 310, S17, B11, 1
B11, Trade, 120.725, 310, S14, B11, 1
B11, Trade, 187.275, 310, S14, B11, 1
B11, Trade, 244.800, 310, S00, B11, 1
B11, Trade, 303.300, 310, S12, B11, 1
B11, Trade, 360.425, 310, S09, B11, 1
B11, Trade, 436.875, 310, S16, B11, 1
B11, Trade, 489.800, 310, S01, B11, 1
B11, Trade, 540.750, 310, S11, B11, 1
B12, 9
B12, Trade, 62.175, 310, S19, B12, 1
B12, Trade, 120.750, 310, S11, B12, 1
B12, Trade, 180.675, 310, S16, B12, 1
B12, Trade, 241.350, 310, S12, B12, 1
B12, Trade, 300.275, 310, S09, B12, 1
B12, Trade, 361.525, 310, S13, B12, 1
B12, Trade, 421.175, 310, S17, B12, 1
B12, Trade, 480.425, 313, S08, B12, 1
