B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 8
B06, Trade, 62.625, 310, S10, B06, 1
B06, Trade, 221.850, 310, S09, B06, 1
B06, Trade, 242.650, 310, S01, B06, 1
B06, Trade, 312.325, 310, S13, B06, 1
B06, Trade, 406.050, 310, S08, B06, 1
B06, Trade, 422.550, 310, S12, B06, 1
B06, Trade, 484.500, 310, S16, B06, 1
B06, Trade, 555.325, 310, S10, B06, 1
B07, 2
B07, Trade, 73.375, 311, B07, S11, 1
B07, Trade, 541.150, 310, S13, B07, 1
B08, 0
B09, 9
B09, Trade, 61.800, 310, S08, B09, 1
B09, Trade, 127.850, 311, S08, B09, 1
B09, Trade, 182.975, 310, S14, B09, 1
B09, Trade, 246.650, 310, S17, B09, 1
B09, Trade, 301.850, 310, S19, B09, 1
B09, Trade, 366.600, 310, S13, B09, 1
B09, Trade, 431.150, 310, S19, B09, 1
B09, Trade, 485.800, 310, S14, B09, 1
B09, Trade, 545.725, 310, S18, B09, 1
B10, 1
B10, Trade, 60.575, 310, S02, B10, 1
B11, 9
B11, Trade, 60.275, 310, S09, B11, 1
B11, Trade, 120.075, 310, S09, B11, 1
B11, Trade, 181.950, 310, S16, B11, 1
B11, Trade, 241.425, 310, S02, B11, 1
B11, Trade, 301.800, 310, S17, B11, 1
B11, Trade, 360.800, 310, S14, B11, 1
B11, Trade, 420.975, 310, S13, B11, 1
B11, Trade, 483.000, 310, S19, B11, 1
B11, Trade, 540.525, 310, S12, B11, 1
B12, 9
B12, Trade, 60.150, 310, S12, B12, 1
B12, Trade, 123.400, 310, S05, B12, 1
B12, Trade, 187.500, 310, S06, B12, 1
B12, Trade, 242.300, 310, S08, B12, 1
B12, Trade, 305.950, 310, S05, B12, 1
B12, Trade, 360.575, 310, S17, B12, 1
B12, Trade, 425.525, 310, S07, B12, 1
B12, Trade, 486.925, 310, S18, B12, 1
B12, Trade, 544.000, 310, S14, B12, 1
B13, 9
B13, Trade, 67.575, 312, S00, B13, 1
B13, Trade, 121.950, 310, S02, B13, 1
B13, Trade, 182.250, 310, S02, B13, 1
B13, Trade, 246.425, 310, S05, B13, 1
B13, Trade, 300.500, 310, S14, B13, 1
B13, Trade, 365.750, 310, S05, B13, 1
B13, Trade, 426.150, 310, S17, B13, 1
B13, Trade, 482.225, 310, S05, B13, 1
B13, Trade, 543.575, 310, S17, B13, 1
B14, 9
B14, Trade, 65.050, 310, S13, B14, 1
B14, Trade, 122.450, 310, S01, B14, 1
B14, Trade, 181.800, 310, S17, B14, 1
B14, Trade, 243.725, 310, S06, B14, 1
B14, Trade, 301.050, 310, S02, B14, 1
B14, Trade, 361.925, 310, S07, B14, 1
B14, Trade, 424.875, 310, S01, B14, 1
B14, Trade, 483.350, 310, S10, B14, 1
B14, Trade, 541.975, 310, S09, B14, 1
B15, 9
B15, Trade, 68.075, 312, S19, B15, 1
B15, Trade, 122.100, 310, S13, B15, 1
B15, Trade, 182.750, 310, S05, B15, 1
B15, Trade, 242.325, 310, S13, B15, 1
B15, Trade, 301.500, 310, S09, B15, 1
B15, Trade, 362.100, 310, S18, B15, 1
B15, Trade, 422.250, 310, S08, B15, 1
B15, Trade, 481.000, 310, S07, B15, 1
B15, Trade, 541.375, 310, S02, B15, 1
B16, 9
B16, Trade, 60.300, 334, S06, B16, 1
B16, Trade, 126.600, 310, S10, B16, 1
B16, Trade, 180.925, 310, S13, B16, 1
B16, Trade, 248.600, 310, S10, B16, 1
B16, Trade, 310.425, 310, S10, B16, 1
B16, Trade, 367.275, 310, S09, B16, 1
B16, Trade, 422.400, 310, S05, B16, 1
B16, Trade, 486.350, 310, S09, B16, 1
B16, Trade, 546.750, 310, S05, B16, 1
B17, 9
B17, Trade, 61.025, 310, S17, B17, 1
B17, Trade, 120.325, 310, S12, B17, 1
B17, Trade, 180.175, 464, B17, S15, 1
B17, Trade, 240.625, 310, S12, B17, 1
B17, Trade, 301.275, 310, S18, B17, 1
B17, Trade, 360.825, 310, S12, B17, 1
B17, Trade, 421.075, 310, S09, B17, 1
B17, Trade, 480.575, 310, S17, B17, 1
B17, Trade, 540.700, 352, S15, B17, 1
B18, 2
B18, Trade, 60.800, 310, S05, B18, 1
B18, Trade, 121.800, 310, S17, B18, 1
B19, 9
B19, Trade, 62.200, 310, S14, B19, 1
B19, Trade, 120.850, 310, S14, B19, 1
B19, Trade, 181.300, 310, S10, B19, 1
B19, Trade, 241.200, 310, S14, B19, 1
B19, Trade, 300.850, 310, S06, B19, 1
B19, Trade, 361.625, 310, S06, B19, 1
B19, Trade, 422.150, 310, S02, B19, 1
B19, Trade, 480.525, 310, S02, B19, 1
B19, Trade, 540.575, 314, S06, B19, 1
S00, 1
S00, Trade, 67.575, 312, S00, B13, 1
S01, 3
S01, Trade, 122.450, 310, S01, B14, 1
S01, Trade, 242.650, 310, S01, B06, 1
S01, Trade, 424.875, 310, S01, B14, 1
S02, 8
S02, Trade, 60.575, 310, S02, B10, 1
S02, Trade, 121.950, 310, S02, B13, 1
S02, Trade, 182.250, 310, S02, B13, 1
S02, Trade, 241.425, 310, S02, B11, 1
S02, Trade, 301.050, 310, S02, B14, 1
S02, Trade, 422.150, 310, S02, B19, 1
S02, Trade, 480.525, 310, S02, B19, 1
S02, Trade, 541.375, 310, S02, B15, 1
S03, 0
S04, 0
S05, 9
S05, Trade, 60.800, 310, S05, B18, 1
S05, Trade, 123.400, 310, S05, B12, 1
S05, Trade, 182.750, 310, S05, B15, 1
S05, Trade, 246.425, 310, S05, B13, 1
S05, Trade, 305.950, 310, S05, B12, 1
S05, Trade, 365.750, 310, S05, B13, 1
S05, Trade, 422.400, 310, S05, B16, 1
S05, Trade, 482.225, 310, S05, B13, 1
S05, Trade, 546.750, 310, S05, B16, 1
S06, 6
S06, Trade, 60.300, 334, S06, B16, 1
S06, Trade, 187.500, 310, S06, B12, 1
S06, Trade, 243.725, 310, S06, B14, 1
S06, Trade, 300.850, 310, S06, B19, 1
S06, Trade, 361.625, 310, S06, B19, 1
S06, Trade, 540.575, 314, S06, B19, 1
S07, 3
S07, Trade, 361.925, 310, S07, B14, 1
S07, Trade, 425.525, 310, S07, B12, 1
S07, Trade, 481.000, 310, S07, B15, 1
S08, 5
S08, Trade, 61.800, 310, S08, B09, 1
S08, Trade, 127.850, 311, S08, B09, 1
S08, Trade, 242.300, 310, S08, B12, 1
S08, Trade, 406.050, 310, S08, B06, 1
S08, Trade, 422.250, 310, S08, B15, 1
S09, 8
S09, Trade, 60.275, 310, S09, B11, 1
S09, Trade, 120.075, 310, S09, B11, 1
S09, Trade, 221.850, 310, S09, B06, 1
S09, Trade, 301.500, 310, S09, B15, 1
S09, Trade, 367.275, 310, S09, B16, 1
S09, Trade, 421.075, 310, S09, B17, 1
S09, Trade, 486.350, 310, S09, B16, 1
S09, Trade, 541.975, 310, S09, B14, 1
S10, 7
S10, Trade, 62.625, 310, S10, B06, 1
S10, Trade, 126.600, 310, S10, B16, 1
S10, Trade, 181.300, 310, S10, B19, 1
S10, Trade, 248.600, 310, S10, B16, 1
S10, Trade, 310.425, 310, S10, B16, 1
S10, Trade, 483.350, 310, S10, B14, 1
S10, Trade, 555.325, 310, S10, B06, 1
S11, 1
S11, Trade, 73.375, 311, B07, S11, 1
S12, 6
S12, Trade, 60.150, 310, S12, B12, 1
