t=,30336, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.290, mSel=,+0.123, b=,0.101, m=,0.045, ca=,0.0407, cr=,0.0418,  actvprof=,1.337013, best_B_id=,B05, best_B_prof=,1.337013, best_B_strat=, mBuy=,-0.290, mSel=,+0.123, b=,0.101, m=,0.045, ca=,0.0407, cr=,0.0418, 
t=,60673, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.290, mSel=,+0.123, b=,0.101, m=,0.045, ca=,0.0407, cr=,0.0418,  actvprof=,1.364056, best_B_id=,B05, best_B_prof=,1.364056, best_B_strat=, mBuy=,-0.290, mSel=,+0.123, b=,0.101, m=,0.045, ca=,0.0407, cr=,0.0418, 
t=,91010, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.327, mSel=,+0.138, b=,0.073, m=,0.067, ca=,0.0408, cr=,0.0407,  actvprof=,1.320100, best_B_id=,B05, best_B_prof=,1.320100, best_B_strat=, mBuy=,-0.327, mSel=,+0.138, b=,0.073, m=,0.067, ca=,0.0408, cr=,0.0407, 
t=,121346, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.318, mSel=,+0.155, b=,0.065, m=,0.048, ca=,0.0442, cr=,0.0398,  actvprof=,1.398222, best_B_id=,B05, best_B_prof=,1.398222, best_B_strat=, mBuy=,-0.318, mSel=,+0.155, b=,0.065, m=,0.048, ca=,0.0442, cr=,0.0398, 
t=,151683, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.318, mSel=,+0.155, b=,0.065, m=,0.048, ca=,0.0442, cr=,0.0398,  actvprof=,1.357406, best_B_id=,B05, best_B_prof=,1.357406, best_B_strat=, mBuy=,-0.318, mSel=,+0.155, b=,0.065, m=,0.048, ca=,0.0442, cr=,0.0398, 
t=,182019, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.318, mSel=,+0.155, b=,0.065, m=,0.048, ca=,0.0442, cr=,0.0398,  actvprof=,1.403078, best_B_id=,B05, best_B_prof=,1.403078, best_B_strat=, mBuy=,-0.318, mSel=,+0.155, b=,0.065, m=,0.048, ca=,0.0442, cr=,0.0398, 
t=,212356, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.330, mSel=,+0.145, b=,0.039, m=,0.097, ca=,0.0476, cr=,0.0409,  actvprof=,1.511079, best_B_id=,B05, best_B_prof=,1.511079, best_B_strat=, mBuy=,-0.330, mSel=,+0.145, b=,0.039, m=,0.097, ca=,0.0476, cr=,0.0409, 
t=,242692, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.325, mSel=,+0.184, b=,0.032, m=,0.083, ca=,0.0434, cr=,0.0396,  actvprof=,1.421545, best_B_id=,B05, best_B_prof=,1.421545, best_B_strat=, mBuy=,-0.325, mSel=,+0.184, b=,0.032, m=,0.083, ca=,0.0434, cr=,0.0396, 
t=,273028, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.325, mSel=,+0.184, b=,0.032, m=,0.083, ca=,0.0434, cr=,0.0396,  actvprof=,1.470331, best_B_id=,B05, best_B_prof=,1.470331, best_B_strat=, mBuy=,-0.325, mSel=,+0.184, b=,0.032, m=,0.083, ca=,0.0434, cr=,0.0396, 
t=,303365, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.308, mSel=,+0.215, b=,0.017, m=,0.047, ca=,0.0481, cr=,0.0347,  actvprof=,1.516848, best_B_id=,B05, best_B_prof=,1.516848, best_B_strat=, mBuy=,-0.308, mSel=,+0.215, b=,0.017, m=,0.047, ca=,0.0481, cr=,0.0347, 
t=,333701, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.306, mSel=,+0.242, b=,0.035, m=,0.026, ca=,0.0501, cr=,0.0368,  actvprof=,1.448071, best_B_id=,B05, best_B_prof=,1.448071, best_B_strat=, mBuy=,-0.306, mSel=,+0.242, b=,0.035, m=,0.026, ca=,0.0501, cr=,0.0368, 
t=,364038, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.276, mSel=,+0.231, b=,0.051, m=,0.012, ca=,0.0508, cr=,0.0363,  actvprof=,1.434957, best_B_id=,B05, best_B_prof=,1.434957, best_B_strat=, mBuy=,-0.276, mSel=,+0.231, b=,0.051, m=,0.012, ca=,0.0508, cr=,0.0363, 
t=,394374, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.270, mSel=,+0.308, b=,0.034, m=,0.016, ca=,0.0516, cr=,0.0367,  actvprof=,1.420634, best_B_id=,B05, best_B_prof=,1.420634, best_B_strat=, mBuy=,-0.270, mSel=,+0.308, b=,0.034, m=,0.016, ca=,0.0516, cr=,0.0367, 
t=,424710, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.233, mSel=,+0.312, b=,0.010, m=,0.020, ca=,0.0505, cr=,0.0341,  actvprof=,1.526973, best_B_id=,B05, best_B_prof=,1.526973, best_B_strat=, mBuy=,-0.233, mSel=,+0.312, b=,0.010, m=,0.020, ca=,0.0505, cr=,0.0341, 
t=,455046, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.262, mSel=,+0.366, b=,0.010, m=,0.027, ca=,0.0511, cr=,0.0327,  actvprof=,1.424729, best_B_id=,B05, best_B_prof=,1.424729, best_B_strat=, mBuy=,-0.262, mSel=,+0.366, b=,0.010, m=,0.027, ca=,0.0511, cr=,0.0327, 
t=,485383, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.258, mSel=,+0.344, b=,0.000, m=,0.046, ca=,0.0494, cr=,0.0331,  actvprof=,1.662252, best_B_id=,B05, best_B_prof=,1.662252, best_B_strat=, mBuy=,-0.258, mSel=,+0.344, b=,0.000, m=,0.046, ca=,0.0494, cr=,0.0331, 
t=,515719, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.196, mSel=,+0.342, b=,0.024, m=,0.034, ca=,0.0503, cr=,0.0355,  actvprof=,1.400044, best_B_id=,B05, best_B_prof=,1.400044, best_B_strat=, mBuy=,-0.196, mSel=,+0.342, b=,0.024, m=,0.034, ca=,0.0503, cr=,0.0355, 
t=,546055, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.174, mSel=,+0.365, b=,0.030, m=,0.062, ca=,0.0480, cr=,0.0371,  actvprof=,1.459552, best_B_id=,B05, best_B_prof=,1.459552, best_B_strat=, mBuy=,-0.174, mSel=,+0.365, b=,0.030, m=,0.062, ca=,0.0480, cr=,0.0371, 
t=,576392, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.141, mSel=,+0.361, b=,0.000, m=,0.075, ca=,0.0485, cr=,0.0405,  actvprof=,1.559426, best_B_id=,B05, best_B_prof=,1.559426, best_B_strat=, mBuy=,-0.141, mSel=,+0.361, b=,0.000, m=,0.075, ca=,0.0485, cr=,0.0405, 
t=,606728, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.122, mSel=,+0.336, b=,0.002, m=,0.088, ca=,0.0534, cr=,0.0397,  actvprof=,1.831938, best_B_id=,B05, best_B_prof=,1.831938, best_B_strat=, mBuy=,-0.122, mSel=,+0.336, b=,0.002, m=,0.088, ca=,0.0534, cr=,0.0397, 
t=,637065, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.122, mSel=,+0.336, b=,0.002, m=,0.088, ca=,0.0534, cr=,0.0397,  actvprof=,1.745089, best_B_id=,B05, best_B_prof=,1.745089, best_B_strat=, mBuy=,-0.122, mSel=,+0.336, b=,0.002, m=,0.088, ca=,0.0534, cr=,0.0397, 
t=,667401, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.122, mSel=,+0.336, b=,0.002, m=,0.088, ca=,0.0534, cr=,0.0397,  actvprof=,1.732694, best_B_id=,B05, best_B_prof=,1.732694, best_B_strat=, mBuy=,-0.122, mSel=,+0.336, b=,0.002, m=,0.088, ca=,0.0534, cr=,0.0397, 
t=,697738, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.100, mSel=,+0.379, b=,0.000, m=,0.092, ca=,0.0481, cr=,0.0351,  actvprof=,2.591489, best_B_id=,B05, best_B_prof=,2.591489, best_B_strat=, mBuy=,-0.100, mSel=,+0.379, b=,0.000, m=,0.092, ca=,0.0481, cr=,0.0351, 
t=,728075, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.079, mSel=,+0.368, b=,0.021, m=,0.060, ca=,0.0479, cr=,0.0317,  actvprof=,1.462193, best_B_id=,B05, best_B_prof=,1.462193, best_B_strat=, mBuy=,-0.079, mSel=,+0.368, b=,0.021, m=,0.060, ca=,0.0479, cr=,0.0317, 
t=,758411, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.078, mSel=,+0.383, b=,0.000, m=,0.049, ca=,0.0524, cr=,0.0293,  actvprof=,1.592091, best_B_id=,B05, best_B_prof=,1.592091, best_B_strat=, mBuy=,-0.078, mSel=,+0.383, b=,0.000, m=,0.049, ca=,0.0524, cr=,0.0293, 
t=,788748, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.078, mSel=,+0.376, b=,0.004, m=,0.058, ca=,0.0531, cr=,0.0313,  actvprof=,1.503478, best_B_id=,B05, best_B_prof=,1.503478, best_B_strat=, mBuy=,-0.078, mSel=,+0.376, b=,0.004, m=,0.058, ca=,0.0531, cr=,0.0313, 
t=,819084, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.047, mSel=,+0.372, b=,0.019, m=,0.062, ca=,0.0529, cr=,0.0329,  actvprof=,1.438763, best_B_id=,B05, best_B_prof=,1.438763, best_B_strat=, mBuy=,-0.047, mSel=,+0.372, b=,0.019, m=,0.062, ca=,0.0529, cr=,0.0329, 
t=,849421, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.035, mSel=,+0.337, b=,0.021, m=,0.073, ca=,0.0489, cr=,0.0361,  actvprof=,1.515694, best_B_id=,B05, best_B_prof=,1.515694, best_B_strat=, mBuy=,-0.035, mSel=,+0.337, b=,0.021, m=,0.073, ca=,0.0489, cr=,0.0361, 
t=,879757, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.080, mSel=,+0.319, b=,0.032, m=,0.086, ca=,0.0461, cr=,0.0404,  actvprof=,1.489557, best_B_id=,B05, best_B_prof=,1.489557, best_B_strat=, mBuy=,-0.080, mSel=,+0.319, b=,0.032, m=,0.086, ca=,0.0461, cr=,0.0404, 
t=,910094, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.067, mSel=,+0.292, b=,0.000, m=,0.154, ca=,0.0478, cr=,0.0422,  actvprof=,1.746753, best_B_id=,B05, best_B_prof=,1.746753, best_B_strat=, mBuy=,-0.067, mSel=,+0.292, b=,0.000, m=,0.154, ca=,0.0478, cr=,0.0422, 
t=,940430, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.067, mSel=,+0.292, b=,0.000, m=,0.154, ca=,0.0478, cr=,0.0422,  actvprof=,1.744905, best_B_id=,B05, best_B_prof=,1.744905, best_B_strat=, mBuy=,-0.067, mSel=,+0.292, b=,0.000, m=,0.154, ca=,0.0478, cr=,0.0422, 
t=,970767, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.067, mSel=,+0.292, b=,0.000, m=,0.154, ca=,0.0478, cr=,0.0422,  actvprof=,1.710958, best_B_id=,B05, best_B_prof=,1.710958, best_B_strat=, mBuy=,-0.067, mSel=,+0.292, b=,0.000, m=,0.154, ca=,0.0478, cr=,0.0422, 
t=,1001103, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.050, mSel=,+0.311, b=,0.003, m=,0.193, ca=,0.0484, cr=,0.0394,  actvprof=,1.669842, best_B_id=,B05, best_B_prof=,1.669842, best_B_strat=, mBuy=,-0.050, mSel=,+0.311, b=,0.003, m=,0.193, ca=,0.0484, cr=,0.0394, 
t=,1031440, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.050, mSel=,+0.311, b=,0.003, m=,0.193, ca=,0.0484, cr=,0.0394,  actvprof=,1.521852, best_B_id=,B05, best_B_prof=,1.521852, best_B_strat=, mBuy=,-0.050, mSel=,+0.311, b=,0.003, m=,0.193, ca=,0.0484, cr=,0.0394, 
t=,1061776, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.050, mSel=,+0.311, b=,0.003, m=,0.193, ca=,0.0484, cr=,0.0394,  actvprof=,1.492097, best_B_id=,B05, best_B_prof=,1.492097, best_B_strat=, mBuy=,-0.050, mSel=,+0.311, b=,0.003, m=,0.193, ca=,0.0484, cr=,0.0394, 
t=,1092113, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.029, mSel=,+0.316, b=,0.010, m=,0.193, ca=,0.0446, cr=,0.0388,  actvprof=,1.585548, best_B_id=,B05, best_B_prof=,1.585548, best_B_strat=, mBuy=,-0.029, mSel=,+0.316, b=,0.010, m=,0.193, ca=,0.0446, cr=,0.0388, 
t=,1122450, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.004, mSel=,+0.316, b=,0.000, m=,0.153, ca=,0.0456, cr=,0.0361,  actvprof=,1.713869, best_B_id=,B05, best_B_prof=,1.713869, best_B_strat=, mBuy=,-0.004, mSel=,+0.316, b=,0.000, m=,0.153, ca=,0.0456, cr=,0.0361, 
t=,1152787, id=,B05, ZIPSH,actvstrat=,mBuy=,+0.000, mSel=,+0.338, b=,0.025, m=,0.182, ca=,0.0471, cr=,0.0382,  actvprof=,1.435132, best_B_id=,B05, best_B_prof=,1.435132, best_B_strat=, mBuy=,+0.000, mSel=,+0.338, b=,0.025, m=,0.182, ca=,0.0471, cr=,0.0382, 
t=,1183124, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.012, mSel=,+0.347, b=,0.011, m=,0.129, ca=,0.0485, cr=,0.0344,  actvprof=,1.586883, best_B_id=,B05, best_B_prof=,1.586883, best_B_strat=, mBuy=,-0.012, mSel=,+0.347, b=,0.011, m=,0.129, ca=,0.0485, cr=,0.0344, 
t=,1213461, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.012, mSel=,+0.347, b=,0.011, m=,0.129, ca=,0.0485, cr=,0.0344,  actvprof=,1.541095, best_B_id=,B05, best_B_prof=,1.541095, best_B_strat=, mBuy=,-0.012, mSel=,+0.347, b=,0.011, m=,0.129, ca=,0.0485, cr=,0.0344, 
t=,1243797, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.012, mSel=,+0.347, b=,0.011, m=,0.129, ca=,0.0485, cr=,0.0344,  actvprof=,1.571979, best_B_id=,B05, best_B_prof=,1.571979, best_B_strat=, mBuy=,-0.012, mSel=,+0.347, b=,0.011, m=,0.129, ca=,0.0485, cr=,0.0344, 
t=,1274134, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.006, mSel=,+0.409, b=,0.020, m=,0.111, ca=,0.0537, cr=,0.0343,  actvprof=,1.514987, best_B_id=,B05, best_B_prof=,1.514987, best_B_strat=, mBuy=,-0.006, mSel=,+0.409, b=,0.020, m=,0.111, ca=,0.0537, cr=,0.0343, 
t=,1304471, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.006, mSel=,+0.409, b=,0.020, m=,0.111, ca=,0.0537, cr=,0.0343,  actvprof=,1.446238, best_B_id=,B05, best_B_prof=,1.446238, best_B_strat=, mBuy=,-0.006, mSel=,+0.409, b=,0.020, m=,0.111, ca=,0.0537, cr=,0.0343, 
