0.000, Bid:,0,Ask:,0,
60.031, Bid:,1,180,1,Ask:,0,
60.062, Bid:,1,180,1,Ask:,1,314,1,
60.094, Bid:,1,180,1,Ask:,0,
60.125, Bid:,2,180,1,352,1,Ask:,0,
60.156, Bid:,2,180,1,352,1,Ask:,1,379,1,
60.188, Bid:,3,180,1,311,1,352,1,Ask:,1,379,1,
60.219, Bid:,3,180,1,311,1,352,1,Ask:,2,379,1,410,1,
60.250, Bid:,2,180,1,311,1,Ask:,2,379,1,410,1,
60.344, Bid:,3,180,1,293,1,311,1,Ask:,2,379,1,410,1,
60.375, Bid:,3,180,1,293,1,311,1,Ask:,3,369,1,379,1,410,1,
60.406, Bid:,4,180,1,287,1,293,1,311,1,Ask:,3,369,1,379,1,410,1,
60.438, Bid:,4,180,1,287,1,293,1,311,1,Ask:,3,362,1,369,1,410,1,
60.469, Bid:,5,180,1,287,1,293,1,311,1,327,1,Ask:,3,362,1,369,1,410,1,
60.562, Bid:,6,180,1,287,1,293,1,311,1,327,1,340,1,Ask:,3,362,1,369,1,410,1,
60.594, Bid:,6,180,1,287,1,293,1,311,1,327,1,340,1,Ask:,4,362,1,369,1,388,1,410,1,
60.625, Bid:,6,180,1,287,1,293,1,322,1,327,1,340,1,Ask:,4,362,1,369,1,388,1,410,1,
60.656, Bid:,6,180,1,287,1,293,1,322,1,327,1,340,1,Ask:,5,362,1,369,1,375,1,388,1,410,1,
60.688, Bid:,6,180,1,287,1,293,1,322,1,327,1,340,1,Ask:,6,351,1,362,1,369,1,375,1,388,1,410,1,
60.719, Bid:,6,180,1,287,1,293,1,322,1,327,1,340,1,Ask:,7,350,1,351,1,362,1,369,1,375,1,388,1,410,1,
60.750, Bid:,7,180,1,287,1,293,1,295,1,322,1,327,1,340,1,Ask:,7,350,1,351,1,362,1,369,1,375,1,388,1,410,1,
60.781, Bid:,8,180,1,260,1,287,1,293,1,295,1,322,1,327,1,340,1,Ask:,7,350,1,351,1,362,1,369,1,375,1,388,1,410,1,
60.812, Bid:,8,180,1,260,1,287,1,293,1,295,1,322,1,327,1,340,1,Ask:,7,350,1,351,1,362,1,369,1,375,1,376,1,410,1,
60.844, Bid:,9,180,1,260,1,266,1,287,1,293,1,295,1,322,1,327,1,340,1,Ask:,7,350,1,351,1,362,1,369,1,375,1,376,1,410,1,
60.875, Bid:,10,180,1,260,1,266,1,287,1,293,1,295,1,319,1,322,1,327,1,340,1,Ask:,7,350,1,351,1,362,1,369,1,375,1,376,1,410,1,
61.000, Bid:,10,180,1,260,1,266,2,287,1,293,1,295,1,319,1,322,1,327,1,340,1,Ask:,7,350,1,351,1,362,1,369,1,375,1,376,1,410,1,
61.031, Bid:,10,180,1,260,1,266,2,287,1,293,1,295,1,319,1,322,1,327,1,340,1,Ask:,7,350,2,351,1,362,1,369,1,375,1,376,1,410,1,
61.062, Bid:,10,180,1,260,1,266,2,287,1,295,1,319,1,322,1,327,1,335,1,340,1,Ask:,7,350,2,351,1,362,1,369,1,375,1,376,1,410,1,
61.094, Bid:,10,180,1,260,1,266,2,287,1,295,1,319,1,322,1,327,1,335,1,340,1,Ask:,7,350,2,351,2,362,1,369,1,375,1,376,1,410,1,
61.188, Bid:,10,180,1,260,1,266,2,287,1,295,1,319,1,322,1,327,1,335,1,340,1,Ask:,6,350,3,351,2,362,1,375,1,376,1,410,1,
61.344, Bid:,10,180,1,260,1,266,2,287,1,295,1,319,1,322,1,327,1,335,1,340,1,Ask:,6,350,4,351,1,362,1,375,1,376,1,410,1,
61.438, Bid:,10,180,1,260,1,266,2,295,1,314,1,319,1,322,1,327,1,335,1,340,1,Ask:,6,350,4,351,1,362,1,375,1,376,1,410,1,
61.500, Bid:,9,180,1,260,1,266,2,295,1,314,1,319,1,322,1,327,1,335,1,Ask:,6,350,4,351,1,362,1,375,1,376,1,410,1,
61.562, Bid:,10,180,1,260,1,266,2,295,1,314,1,319,1,322,1,327,1,335,1,336,1,Ask:,6,350,4,351,1,362,1,375,1,376,1,410,1,
61.656, Bid:,10,180,1,260,1,266,2,295,1,314,1,319,1,322,1,327,1,335,1,336,1,Ask:,7,350,4,351,1,362,1,375,1,376,1,379,1,410,1,
61.719, Bid:,10,180,1,260,1,266,2,295,1,314,1,319,1,322,1,327,1,335,1,336,1,Ask:,7,350,4,351,1,356,1,375,1,376,1,379,1,410,1,
